,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,8948378,9360690,9871385,10512441,11608707,13235427,13692420,13584429,12272516,13304601,13983244,14533506,15235273,16506106,17733093,18463203,20132201,21806375
1," ""37001""","Alamance, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,117349,111079,114082,121155,108289,120747,101382,112102,89622,87781,97971,108848,105474,116294,118074,126347,134610,133680
2," ""37003""","Alexander, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,5058,5385,6020,6145,6519,6832,6769,6913,8027,8369,9029,9452,9811,9875,11075,11893,12696,12060
3," ""37005""","Alleghany, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,3042,3113,2903,3007,3234,2991,3578,3570,3750,3946,3947,3269,3175,3226,3544,3728,3954,4613
4," ""37007""","Anson, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,4140,4453,4916,4456,4247,4851,5089,4451,4836,4765,4317,4851,4914,5064,4642,4598,4828,5087
5," ""37009""","Ashe, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,7608,7114,7798,8927,8914,9097,9283,10056,10144,10291,10096,10504,10560,11983,11781,11839,12475,12139
6," ""37011""","Avery, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,2981,2319,2679,2547,2771,3428,4034,4211,4294,4227,4404,4197,4145,4684,4983,5307,5769,5298
7," ""37013""","Beaufort, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,15516,15262,15936,15823,17403,19689,19808,18962,19110,20904,22342,23714,25268,26980,26845,23318,25721,25853
8," ""37015""","Bertie, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,3078,3051,3003,3117,3233,3265,3259,3787,4049,4079,4008,3741,3781,3854,4000,3842,3991,3978
9," ""37017""","Bladen, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,4471,4569,4564,5207,5221,5566,5224,5229,5746,6488,6898,7325,6844,6369,6333,6403,6781,6205
10," ""37019""","Brunswick, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,15640,17318,20667,24553,29323,34981,37478,40533,43900,41736,39154,35353,36470,36745,38733,40121,44811,44743
11," ""37021""","Buncombe, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,138167,137160,143031,147719,159136,183481,199734,211056,193931,201886,200123,203082,219280,240573,250776,265820,291059,289840
12," ""37023""","Burke, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,17867,18254,19080,20403,21035,22799,23240,21932,20584,21690,22855,22240,24290,24687,24588,26375,27195,26347
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,44442,40090,43015,48428,53778,53052,56097,56067,56426,57682,60762,57446,59416,66762,73028,87499,87840,92903
14," ""37027""","Caldwell, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,16712,15108,16094,17858,18567,20596,20359,22039,21435,22751,23472,24143,25232,23321,23157,23346,24825,25575
15," ""37029""","Camden, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,1169,1020,753,922,1144,1244,1549,1505,1503,1471,1849,1634,1369,1093,934,1295,1592,(D)
16," ""37031""","Carteret, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,16369,18364,22317,25130,28134,27683,36469,37741,32069,34442,36636,39005,39192,40703,37162,39750,43586,48461
17," ""37033""","Caswell, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,2210,1817,1989,2237,2701,2760,2798,2977,3095,2548,2778,2541,(D),3057,3266,3283,4127,4466
18," ""37035""","Catawba, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,82276,79445,75328,76299,79143,87802,116354,102945,89598,84100,87637,89389,76894,83019,87019,82713,88165,98085
19," ""37037""","Chatham, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,8715,9489,8372,9155,9780,11192,11369,11192,11088,14227,14705,15233,15752,18048,14870,15842,19630,22110
20," ""37039""","Cherokee, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,8259,8502,9784,9698,11346,12777,12750,11036,11286,11515,11076,11719,10501,9610,11234,11052,15663,20092
21," ""37041""","Chowan, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,4716,5122,5326,5450,5388,6387,6256,6179,6233,6111,6393,6415,6485,7133,7380,7949,8181,6971
22," ""37043""","Clay, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,1346,1273,1464,1330,1596,1943,2024,2078,1755,2327,2280,2370,2179,2418,2606,2773,3070,3089
23," ""37045""","Cleveland, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,22960,22307,27604,29669,32637,34986,34589,35733,35867,37773,35994,34889,34613,34191,33163,36314,36733,36017
24," ""37047""","Columbus, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,28650,28664,20125,20935,21824,22861,25059,25607,24024,25157,25061,27656,26849,25728,27365,27969,30620,31650
25," ""37049""","Craven, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,30399,32108,33829,35099,38488,43060,50437,51368,51140,50078,45150,50068,51177,52215,52922,51777,55754,60910
26," ""37051""","Cumberland, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,124395,116528,114761,119459,121587,131899,138106,151958,148862,154506,134115,135061,127468,134630,135806,143210,152185,163411
27," ""37053""","Currituck, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,(D),(D),2869,2895,3380,4038,4404,4775,5045,13509,17991,19468,19300,14529,7015,7319,6619,6784
28," ""37055""","Dare, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,19489,24130,33386,31186,27949,27659,28387,28544,29529,26787,27626,25159,27866,27209,27012,30111,32146,32333
29," ""37057""","Davidson, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,32312,29804,30592,30702,32355,36930,37322,39451,37373,36849,38857,40902,40030,40384,40145,41560,47656,45928
30," ""37059""","Davie, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,6029,7193,8685,8982,11220,12798,13781,19092,14872,11297,13237,14029,14062,14955,14560,14715,17217,19233
31," ""37061""","Duplin, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,9423,9814,9386,10181,10457,10363,11147,10629,11408,11936,12332,12487,12426,12572,12003,13606,13801,16707
32," ""37063""","Durham, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,280832,397284,445006,462986,504026,592158,709979,799816,817867,844878,874927,933693,980667,1099656,1152551,1259782,1387221,1456265
33," ""37065""","Edgecombe, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,16540,18884,17072,14136,15247,15069,12958,11899,13611,13354,14254,14574,14719,13717,12970,14064,9094,10298
34," ""37067""","Forsyth, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,815765,749027,745879,779508,824581,865623,889008,894782,829273,860487,903386,921509,951351,1096076,1125432,1113382,1228285,1258434
35," ""37069""","Franklin, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,4318,4205,4918,5041,5374,6307,5865,6618,6145,7401,8570,7954,8557,10203,12304,13514,14320,12557
36," ""37071""","Gaston, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,71723,72955,75260,64293,67623,72240,72310,75392,71935,73182,76091,83652,82853,89426,91200,88886,82917,86663
37," ""37073""","Gates, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),1652,1753,1797,1742,(D),(D),2051,(D),(D),(D),2812
38," ""37075""","Graham, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,1665,1258,(D),1690,2246,2729,2567,2602,2468,2499,2577,(D),2647,3127,3204,3512,4302,4952
39," ""37077""","Granville, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,7091,7101,6845,6249,6887,8141,9784,11386,11532,12321,14033,15303,16477,19789,12476,12539,14328,14419
40," ""37079""","Greene, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,1443,1577,1727,2073,2035,2011,3656,4477,4650,3678,4323,4462,3627,4522,3724,3445,3987,4301
41," ""37081""","Guilford, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,761674,844598,865752,914426,958423,1064089,1117537,1180321,1103934,1172503,1145401,1139934,1196008,1233785,1260700,1286456,1404050,1423203
42," ""37083""","Halifax, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,14253,14440,14327,13987,15898,16049,16204,17310,16232,17334,17703,19370,20479,19647,19510,20275,20700,21266
43," ""37085""","Harnett, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,18364,19170,21414,22211,24359,27415,28836,29480,27769,28849,28382,29219,29046,30967,32716,35719,37889,39589
44," ""37087""","Haywood, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,17687,15366,17000,17479,18977,19976,22240,22918,21435,22537,24019,26300,26373,26739,27358,29452,29649,30858
45," ""37089""","Henderson, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,40606,36549,42724,40458,43859,55535,52036,49570,45662,47836,48815,49703,50132,53947,50517,50199,53898,57960
46," ""37091""","Hertford, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,5294,5305,5001,5207,5604,5818,6352,6891,7710,9526,8416,7585,6434,6966,8311,9417,10373,11098
47," ""37093""","Hoke, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,2609,2862,2906,2698,2616,2591,2601,2716,2681,2724,2825,3396,3601,3581,3725,14132,16657,14954
48," ""37095""","Hyde, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,(D),(D),484,(D),(D),(D),(D),832,840,746,792,(D),(D),1097,(D),(D),1160,1245
49," ""37097""","Iredell, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,46228,46654,47832,48185,54178,57621,62292,64206,66021,67209,70720,74839,79712,96721,98893,104911,113695,116182
50," ""37099""","Jackson, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,7731,7306,7281,8579,9720,10467,9947,10170,10135,10174,10040,9752,9419,9352,10468,13129,14409,16720
51," ""37101""","Johnston, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,32777,29956,32020,35933,40281,49605,46786,41919,41241,43356,45553,46157,46300,47839,50765,56104,57617,65093
52," ""37103""","Jones, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,652,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1307,(D),878,906,1161,1328,1262
53," ""37105""","Lee, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,16486,15600,15991,17608,19772,20910,21873,24466,24300,23980,25059,25145,25943,25966,26061,25698,27026,26757
54," ""37107""","Lenoir, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,28716,28858,26006,25886,26699,26535,28704,29965,26953,28318,30291,30335,33069,36376,41735,45658,47492,49103
55," ""37109""","Lincoln, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,18643,14999,16724,15813,17868,18973,22131,22279,20655,21566,21618,24058,25858,28335,26470,27680,31425,35803
56," ""37111""","McDowell, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,5998,6086,6272,7012,7276,7862,8935,8854,8505,8747,9425,9997,9738,10322,10221,10293,10801,11220
57," ""37113""","Macon, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,13848,14695,15581,13261,14615,16399,18266,18761,18042,17578,18505,19313,19954,20678,20377,21337,22321,22336
58," ""37115""","Madison, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,1757,1504,3318,2495,2388,3036,3656,3623,3402,3562,3954,4188,3461,3652,3734,3456,3843,3306
59," ""37117""","Martin, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,5463,5676,6378,6465,6756,7244,7446,7445,7910,9005,9905,9967,22793,23673,22507,22052,23412,24184
60," ""37119""","Mecklenburg, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,3880825,4201354,4557311,4953547,5813514,6855628,6858598,6429468,5413127,6061132,6614125,6906416,7306303,7927400,8759409,9049838,9902939,11049588
61," ""37121""","Mitchell, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,4550,4479,5004,5770,6108,6031,5829,5789,5493,5620,5721,6004,5966,6185,6510,6810,7347,7885
62," ""37123""","Montgomery, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,9408,5704,5728,5527,6107,6624,6825,7192,7066,7239,7511,7985,8233,8407,8629,8112,11027,13022
63," ""37125""","Moore, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,34773,36856,40695,40276,44473,47185,48163,46928,46918,50363,51535,54199,58892,62608,65026,56405,61886,61737
64," ""37127""","Nash, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,172826,137127,136342,157362,142316,96295,67714,71821,71348,72354,74181,83537,67994,68434,70057,66233,70534,74718
65," ""37129""","New Hanover, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,130651,141748,157051,165012,182864,201476,224482,222419,208981,208997,214303,228734,247559,301292,282998,316453,356735,370498
66," ""37131""","Northampton, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,1255,1470,1294,1197,1202,1187,1644,(D),(D),(D),(D),(D),(D),(D),542,495,(D),(D)
67," ""37133""","Onslow, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,32734,31372,33599,34554,36041,40713,44541,49158,50555,49692,48638,49659,67531,72862,71042,65741,66238,71624
68," ""37135""","Orange, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,169839,66029,72382,112816,118159,139925,159749,146302,111146,163706,156760,135652,133684,160374,157828,166825,176480,182536
69," ""37137""","Pamlico, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,1195,1150,1135,1235,1172,1337,1487,1849,1923,2661,2187,2093,2123,2016,2229,2417,2675,2696
70," ""37139""","Pasquotank, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,15080,16272,16979,18195,22103,26566,29725,36368,31559,28266,28869,30926,36012,34746,38621,25631,25753,28103
71," ""37141""","Pender, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,4571,4390,4816,4810,5651,6771,7342,7469,7097,7480,8579,7702,7383,7433,7042,7128,8151,11138
