,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0," ""37000""",North Carolina,5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,13216441,14146916,15161096,16357096,17391591,19072041,20387914,21553954,22401608,22891584,22991244,24065394,24812996,25711154,26576080,27741155,29194318,30626230,32233666
1," ""37001""","Alamance, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,232139,248106,260944,278217,296186,316802,330778,359804,399498,423440,440267,478171,639502,644349,609288,660052,659954,714395,734226
2," ""37003""","Alexander, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),15279,(D),(D),(D),17866,(D),18769,(D),(D),(D),(D),19324,(D),(D),22053,(D),(D)
3," ""37005""","Alleghany, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),(D),15414,16053,17113,(D),(D),(D),20136,(D),(D),(D),(D),(D),18924
4," ""37007""","Anson, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,13883,14898,16687,18466,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17679,18005,18332
5," ""37009""","Ashe, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),41535,41807,43610,45729,45545,43867,46560,45264,44164,43809,47027,46953,47303,48399
6," ""37011""","Avery, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),38044,40774,(D),(D),(D),34686,32517,33689,35164,(D),(D),(D),(D),(D),(D),(D)
7," ""37013""","Beaufort, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,64451,69945,74211,81597,84982,87533,95342,95767,93910,89770,86469,82034,79629,78597,81061,82437,82606,87408,59139
8," ""37015""","Bertie, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),28058,(D),(D),(D),(D)
9," ""37017""","Bladen, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,19805,19582,20661,24269,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),24412,23934
