,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,(D),4521107,4648008,4744453,4871495,4987973,5213651,5320155,5352937,5353426,5594126,5966554,6161686,6887463,7351291,7609347,7759982,8235281
1," ""37001""","Alamance, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,18659,19584,18619,18670,20891,20762,42344,29194,25972,23765,23418,25658,27892,27687,28370,30072,28369,27625
2," ""37003""","Alexander, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,802,768,801,867,836,890,961,1126,1142,1234,972,813,864,917,860,978,901,739
3," ""37005""","Alleghany, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,822,873,1012,1000,1074,1129,1213,1180,871,1013,979,902,856,704,734,713,752,770
4," ""37007""","Anson, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,1290,1474,1390,1593,1487,1520,1585,1837,2286,1520,1464,1642,1636,1892,1546,1416,1189,1288
5," ""37009""","Ashe, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,3702,4323,4767,4669,4597,4992,5514,5337,4318,4315,4532,4586,4590,5079,4202,3629,3632,3928
6," ""37011""","Avery, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,2407,2406,1872,1901,1914,1732,2043,(D),1796,1564,1611,1491,1492,1557,1563,1492,1629,1313
7," ""37013""","Beaufort, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,9294,9073,9493,9882,10207,9057,8816,8784,8283,9579,8311,8232,9050,9636,9759,9326,4819,5541
8," ""37015""","Bertie, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,219,234,253,366,383,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
9," ""37017""","Bladen, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,(D),(D),(D),1229,1163,1018,981,805,968,549,514,494,423,(D),(D),(D),198,(D)
10," ""37019""","Brunswick, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,12293,13680,14821,16753,21137,19328,20133,22225,22861,24010,24589,24536,23117,23891,23875,22073,22425,21981
11," ""37021""","Buncombe, NC",5.0,CAINC6N,900.0,51,   Information,Thousands of dollars,79725,76112,73599,73965,77595,80674,92060,92700,96236,91659,99886,102873,96035,102781,99854,116097,114204,109163
