,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0," ""37000""",North Carolina,5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,4507896,4772333,4994059,5214685,5246843,5525013,5927857,6121353,5976100,5953315,6085060,6521405,6709905,7091127,7453017,7776421,8008977,8474110,9026675
1," ""37001""","Alamance, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,72215,75543,77158,81131,80944,84269,89227,92081,92513,89034,89793,94662,96340,100886,106810,110707,111226,116304,129853
2," ""37003""","Alexander, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,11139,12343,12894,14863,14538,14166,14712,15651,15734,15509,15375,16571,16996,17548,19140,19608,19474,19318,20185
3," ""37005""","Alleghany, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,3842,4347,4709,4877,(D),3816,4045,5201,5334,5323,5237,5832,6014,6323,6234,4629,4793,5039,5174
4," ""37007""","Anson, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,6909,7853,10543,11466,11759,12165,12065,12688,11708,10738,10878,13469,14890,16044,12678,12899,13234,14304,14847
5," ""37009""","Ashe, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,7971,9663,9621,10201,10445,10667,11906,13315,13460,13858,13464,13914,14208,14720,15152,15216,15101,15196,15559
6," ""37011""","Avery, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,9071,9583,10321,11108,10580,11098,11876,12718,12749,11895,11927,12606,12410,13114,12597,11718,12383,12554,13937
7," ""37013""","Beaufort, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,19839,23765,24826,27540,26122,27657,29940,31185,30296,30000,31293,31571,29728,31690,32631,32107,31369,30595,31036
8," ""37015""","Bertie, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,7173,6965,7660,8026,8008,8094,8654,9725,9447,9202,8886,9129,9282,9416,9057,9030,8993,9417,9373
9," ""37017""","Bladen, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,(D),11270,12268,13392,15381,16153,14768,16016,14744,13746,13636,14416,14289,(D),(D),(D),15557,(D),(D)
10," ""37019""","Brunswick, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,24851,26405,30303,33107,36960,41816,44292,47165,46424,49731,50102,53161,54901,60278,66744,69649,74427,85250,90406
11," ""37021""","Buncombe, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,127905,135222,141450,137842,141111,147426,156547,162698,162785,166385,172398,186705,184972,203034,215119,233071,243961,267353,299044
12," ""37023""","Burke, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,33261,35351,35935,36605,35173,37360,38348,42290,42131,42169,41608,42974,42699,44738,46008,48916,48134,50590,53066
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,66249,77257,76504,78784,81120,89912,98358,104417,99234,101698,103016,109755,112239,122270,129543,134452,139500,153361,164063
14," ""37027""","Caldwell, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,30392,32903,36349,37548,36753,37586,38913,41273,40930,39743,39539,40950,43182,45676,46862,47535,49357,51642,53561
15," ""37029""","Camden, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,2687,3276,3869,4067,4466,5198,5928,5221,5248,5446,5667,5883,6041,5135,5529,5782,5365,5737,5839
16," ""37031""","Carteret, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,30693,32265,33888,33533,34919,36842,40051,41928,41717,40661,41849,44280,46171,49201,50329,52038,50115,52382,57089
17," ""37033""","Caswell, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,5528,6116,6311,6469,6441,6694,6905,7239,7292,6952,6970,7274,7239,7752,7932,8174,8240,8570,8970
18," ""37035""","Catawba, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,83484,81073,82039,85149,84495,93316,100252,101389,99491,94169,97117,98534,97830,106553,112393,113235,114698,123953,127709
19," ""37037""","Chatham, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,20013,22233,24179,26666,27411,28838,31195,30047,31415,31671,33404,32516,34360,35016,35923,38206,38642,41086,43860
