,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,128226820,129355927,132495449,140034569,147656870,158432534,167623468,169535927,159968580,163599262,169238783,178540721,183394651,196240670,206699802,213815137,224230202,237373303
1," ""37001""","Alamance, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,2059090,2048415,2038655,2137351,2180034,2291723,2368065,2400103,2160726,2201059,2304562,2437302,2458887,2530561,2574646,2738919,2853175,2993988
2," ""37003""","Alexander, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,274939,269624,278451,293981,291974,300597,307711,295704,252723,253270,255730,263788,267646,285777,290226,296299,315120,319197
3," ""37005""","Alleghany, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,87303,83957,78207,84379,89773,94451,92736,91356,85217,86135,83831,83197,89469,95029,97046,98113,99956,103276
4," ""37007""","Anson, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,189803,191924,190626,199582,205045,203190,209529,213771,191910,202191,207187,210096,203450,220374,222559,221474,223773,235838
5," ""37009""","Ashe, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,204774,214954,216671,227449,237126,248374,260062,262446,243427,244662,235058,247194,245755,252774,249469,265979,283599,292664
6," ""37011""","Avery, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,146152,149037,159010,168523,176288,185816,199551,195040,177695,171358,172723,178782,181693,196486,201032,209098,218084,228100
7," ""37013""","Beaufort, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,454315,459360,469802,500737,523825,555750,580723,585894,574574,580559,608287,607622,591988,616031,630466,648913,655543,662684
8," ""37015""","Bertie, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,147011,153454,152008,161293,173614,177299,182478,188028,192560,190688,181791,181736,178481,193937,197866,190779,190236,191032
9," ""37017""","Bladen, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,310492,321053,340067,343901,350407,365576,387801,381502,395265,398372,390243,405580,403299,429109,466619,479047,491835,508682
10," ""37019""","Brunswick, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,676749,627999,693631,786105,839836,922747,986149,1012861,990011,1005906,991895,1053290,1112258,1186012,1241325,1288812,1368441,1426969
11," ""37021""","Buncombe, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,3261600,3283384,3427492,3623337,3849884,4129362,4396925,4465894,4280386,4350899,4438758,4699373,4873097,5235495,5629209,5894724,6161561,6534163
