,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,1631090,1735262,1745184,1906287,2079553,2296490,2435934,2381572,2232050,2207646,2236869,2466365,2600751,2823840,3104943,3265751,3436979,3696621
1," ""37001""","Alamance, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,17469,21181,22047,21043,26080,25633,29534,22353,20513,19883,23155,16171,15508,18487,22537,23849,24538,25722
2," ""37003""","Alexander, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,507,384,386,386,413,464,626,581,939,816,733,865,886,862,915,848,1108,960
3," ""37005""","Alleghany, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,194,319,555,453,661,889,677,624,490,501,429,397,456,599,774,1698,1797,1812
4," ""37007""","Anson, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,554,659,557,549,526,665,760,704,741,804,659,639,556,894,701,612,699,864
5," ""37009""","Ashe, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,972,1403,1572,1587,1699,1897,1899,2368,2497,1555,1144,1174,1333,1712,3469,2394,4284,3938
6," ""37011""","Avery, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,3713,5660,4080,4456,5571,6145,6979,5808,5557,5936,5761,5967,6261,6347,7339,7307,6400,6136
7," ""37013""","Beaufort, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,2190,2517,2438,2611,2858,2271,2381,2488,2785,2598,2698,3501,4229,4729,3811,3659,3923,4118
8," ""37015""","Bertie, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,230,277,183,248,260,345,389,703,439,(D),(D),(D),(D),(D),(D),(D),(D),(D)
9," ""37017""","Bladen, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,1698,1665,1470,1501,1531,1834,2123,2347,1718,1724,1249,1931,2138,1821,1279,1353,1335,1390
10," ""37019""","Brunswick, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,30425,33764,36795,48405,57315,49412,48127,44384,40609,36425,37202,34858,37086,37931,38668,36683,41424,39337
11," ""37021""","Buncombe, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,29906,33896,33197,38149,47697,52356,59962,57584,51676,50380,49718,56348,58922,64698,70915,74772,83138,95238
12," ""37023""","Burke, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,5610,4821,3976,4400,4513,4580,5267,5448,5382,5003,4929,5228,5259,5350,6785,8574,9049,9612
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,24458,23347,18628,22614,24148,26584,28711,26966,27974,27044,29180,32564,36215,41626,47024,48361,47050,48994
14," ""37027""","Caldwell, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,3597,3564,3601,5327,5443,5829,3587,3745,4163,7198,6857,7886,4539,3931,4633,4801,4552,4593
15," ""37029""","Camden, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,595,558,538,606,813,668,788,723,591,629,723,708,(D),744,(D),(D),(D),(D)
16," ""37031""","Carteret, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,13717,15612,18246,20419,22045,19010,18068,17574,18123,17460,16851,18035,19671,20397,22169,21870,24883,26338
17," ""37033""","Caswell, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,599,476,465,402,446,316,400,556,469,202,193,449,(D),(D),(D),(D),(D),(D)
18," ""37035""","Catawba, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,16688,18479,15887,18032,19995,23560,22739,21674,22594,20560,20096,22802,23263,26745,31078,26007,26953,27450
19," ""37037""","Chatham, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,4568,4552,3762,4756,5598,2207,2692,3238,3173,3098,2907,3668,3984,4996,5962,5012,5538,7121
20," ""37039""","Cherokee, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,1628,2514,2924,3296,4700,5211,5263,3890,3022,2933,2615,2957,2806,2794,4147,4356,3529,4048
21," ""37041""","Chowan, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,760,810,741,736,827,1039,1126,993,931,816,733,778,826,876,895,848,868,809
22," ""37043""","Clay, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,2089,2510,758,867,1142,1363,1130,732,392,160,120,148,138,207,138,196,377,321
23," ""37045""","Cleveland, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,5742,5940,5828,5838,7348,7382,7975,8195,6493,5942,6130,7233,8315,9831,9575,9255,9554,11409
24," ""37047""","Columbus, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,6546,8026,6457,6708,6634,6755,6431,6724,5900,5867,5319,5681,6112,7096,7974,8796,8583,9607
25," ""37049""","Craven, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,8630,10536,9736,9643,12148,13983,13981,13381,11348,11436,10754,13182,13107,13643,16319,17059,16763,17170
26," ""37051""","Cumberland, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,38262,41077,48076,47848,57858,60808,62902,65655,70070,70937,70333,73473,72514,74856,78824,79104,79166,79187
27," ""37053""","Currituck, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,(D),(D),15910,16702,14232,14259,16406,15794,15216,17830,15876,16802,20137,19270,21211,22775,26008,28765
28," ""37055""","Dare, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,43964,51875,57125,62428,70015,69558,72666,73640,72738,71543,73253,80826,81956,85933,87838,88776,89138,84332
29," ""37057""","Davidson, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,10696,11391,9809,7325,7338,7614,8922,10782,10488,10457,10435,11919,12612,14720,18822,20592,20705,20715
30," ""37059""","Davie, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,1549,1284,2033,1976,2144,2345,2208,2309,2672,2558,2626,4149,3113,2623,2728,2561,2431,2430
31," ""37061""","Duplin, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,2549,2065,1670,2420,1624,1996,1720,1932,2391,2090,2121,1628,1604,1869,1971,2211,2168,1956
32," ""37063""","Durham, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,67144,73104,71903,79834,88216,91126,99942,105254,99441,93658,85143,94608,96476,100226,119100,132997,125361,147990
33," ""37065""","Edgecombe, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,7188,6616,6425,5381,2621,2559,2698,2189,2134,2320,2400,2940,3437,5310,3534,3506,(D),(D)
34," ""37067""","Forsyth, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,77504,79511,78982,84657,80876,87469,92797,90450,86995,89388,85867,92527,98358,101382,109070,114166,105341,111841
35," ""37069""","Franklin, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,1509,1413,2645,3100,4551,4619,2435,2472,1611,1689,1571,1879,1927,1948,2490,2648,2647,2707
36," ""37071""","Gaston, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,22958,24358,26236,27811,31621,33064,34711,35068,29771,28989,31655,30994,33276,36898,44253,47405,52748,50398
37," ""37073""","Gates, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),114,181,(D),198,(D),(D),80,(D),(D),(D),(D)
38," ""37075""","Graham, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,144,53,(D),175,56,132,142,82,87,88,63,(D),118,131,303,360,390,292
39," ""37077""","Granville, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,1563,1800,2626,3706,2811,2099,2050,1961,1979,1948,1828,1825,2173,2283,2419,2672,2807,2554
40," ""37079""","Greene, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,268,292,224,409,491,551,599,640,840,927,1047,1248,1404,3124,3951,3809,4359,4558
41," ""37081""","Guilford, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,154636,148374,149498,144497,153436,168504,178803,193139,176286,178662,179915,199251,205699,261386,233748,236275,244048,252042
42," ""37083""","Halifax, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,3376,3875,4144,4357,4885,5608,5424,4757,4472,3832,3464,3448,3690,3524,4039,3988,4390,4489
43," ""37085""","Harnett, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,8788,9560,8134,7862,8117,8568,9006,8491,8014,7531,7772,7140,7731,7233,7986,9252,9740,9692
44," ""37087""","Haywood, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,3102,4933,6111,6655,5244,5571,5658,5064,5202,5204,4321,5143,5865,5830,6630,6800,7216,8214
45," ""37089""","Henderson, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,6890,7905,8475,10670,11848,10642,11569,9349,8278,9607,9505,9603,9455,11049,13495,15189,13772,14872
46," ""37091""","Hertford, NC",5.0,CAINC6N,1100.0,53,   Real estate and rental and leasing,Thousands of dollars,1865,4437,3044,3100,3167,3658,3636,3312,2747,3344,3521,3844,3929,4426,4221,(D),(D),3694
