,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,(D),1206308,1193011,1245215,1218429,1300848,1314107,1365634,1336765,1399223,1415956,1414259,1566711,1722946,1752970,1868415,1829179,1964930
1," ""37001""","Alamance, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,9036,9599,9880,10190,10325,10108,8541,9114,9123,9687,16554,37606,38498,11580,11107,11762,11287,12463
2," ""37003""","Alexander, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,1950,1734,1787,1994,1716,1740,1626,1708,1845,1836,1829,1685,1822,1989,2038,2294,2277,(D)
3," ""37005""","Alleghany, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
4," ""37007""","Anson, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),4423,4446,4779,4974,4799,4305,4691,5035,5117,5562,5011,5115
5," ""37009""","Ashe, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3611,(D),(D),(D),(D),(D),(D),(D)
6," ""37011""","Avery, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
7," ""37013""","Beaufort, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,(D),0,0,0,0,0,0,0,0,0,(D),(D),(D),0,0,0,(D),(D)
8," ""37015""","Bertie, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,(D),(D)
9," ""37017""","Bladen, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,(D),(D),1231,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
10," ""37019""","Brunswick, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),188985,207021,210326,203155,205988
11," ""37021""","Buncombe, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,27006,28418,28441,32478,31495,31983,31648,34906,(D),(D),36682,32544,38545,36836,38734,52893,61624,55115
12," ""37023""","Burke, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,1856,3928,3932,4106,3862,4102,4195,4061,4100,4360,4321,4149,4572,4878,5055,5105,5216,6090
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,5268,5512,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
14," ""37027""","Caldwell, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,10423,11240,9195,9362,10443,10200,9697,10340,(D),11292,11727,11568,12408,12574,14651,14027,14780,14956
15," ""37029""","Camden, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
16," ""37031""","Carteret, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,7665,8239,8496,8248,7545,8317,8162,8910,8909,8872,9195,9186,9483,13311,12381,13331,12983,13579
17," ""37033""","Caswell, NC",5.0,CAINC6N,300.0,22,   Utilities,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
