,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,13216441,14146916,15161096,16357096,17391591,19072041,20387914,21553954,22401608,22891584,22991244,24065394,24812996,25711154,26601157,27607448,29052240,30516906
1," ""37001""","Alamance, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,232139,248106,260944,278217,296186,316802,330778,359804,399498,423440,440267,478171,639502,644349,609843,657188,656840,711398
2," ""37003""","Alexander, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),15279,(D),(D),(D),17866,(D),18769,(D),(D),(D),(D),19324,(D),(D),21915,(D)
3," ""37005""","Alleghany, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),(D),15414,16053,17113,(D),(D),(D),20136,(D),(D),(D),(D),(D)
4," ""37007""","Anson, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,13883,14898,16687,18466,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17553,17951
5," ""37009""","Ashe, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),41535,41807,43610,45729,45545,43867,46560,45264,44164,43857,46750,46676,47128
6," ""37011""","Avery, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),38044,40774,(D),(D),(D),34686,32517,33689,35164,(D),(D),(D),(D),(D),(D)
7," ""37013""","Beaufort, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,64451,69945,74211,81597,84982,87533,95342,95767,93910,89770,86469,82034,79629,78597,81161,81894,82072,87097
8," ""37015""","Bertie, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),28098,(D),(D),(D)
9," ""37017""","Bladen, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,19805,19582,20661,24269,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),24328
10," ""37019""","Brunswick, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,52008,59245,65532,69949,75702,89033,98687,102873,113943,120007,122273,146105,149341,181383,183866,193391,210386,230334
11," ""37021""","Buncombe, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,672246,714901,786439,848259,903604,965718,999406,1045313,1083917,1136301,1178514,1258552,1341330,1419528,1501278,1607916,1679336,1776157
12," ""37023""","Burke, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,140957,149864,162362,172532,183342,196945,202832,209912,215154,219648,231494,246979,242772,253720,255068,260328,270316,277129
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,138274,151714,163019,185281,202295,228985,247410,238565,243931,228966,228494,221611,224721,231762,247329,254030,270947,265620
14," ""37027""","Caldwell, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,90862,92080,86667,91366,98114,103754,114709,116331,120278,126079,129608,126376,130404,136699,138436,143379,148390,154521
15," ""37029""","Camden, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),(D),455,(D),1242,(D),(D),2003,(D),616,(D),(D),(D),(D)
16," ""37031""","Carteret, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,49723,53505,56481,62383,68204,71200,71406,76575,83533,85624,94806,104557,106649,112144,117339,121085,123955,124583
