,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,27878,27896,28688,30590,32283,34324,36138,37687,35802,35682,36767,38970,38200,40064,41851,42651,44180,46117
1," ""37001""","Alamance, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,26970,27051,27751,27975,28741,30806,32225,32881,31530,32002,33092,34306,34187,35642,36830,37317,38141,39342
2," ""37003""","Alexander, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,24737,23958,24043,25758,26427,27245,28055,27539,27052,27627,28265,29579,30402,32457,34216,34082,36178,37438
3," ""37005""","Alleghany, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,24890,24801,24749,25714,26689,26246,27182,28005,28471,28794,29994,31002,31775,33954,36179,36440,36949,37549
4," ""37007""","Anson, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,22880,21593,21782,23106,23841,25181,26636,26570,25727,26750,27187,28349,28699,30526,31760,31577,33531,34616
5," ""37009""","Ashe, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,23764,23495,23551,24372,24875,26217,27424,28325,28697,28968,29593,31223,31181,32182,33459,34325,35368,36300
6," ""37011""","Avery, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,22756,22480,22720,23172,24187,24021,26224,26052,26974,27245,28153,29559,29253,31246,32678,33428,34942,36574
7," ""37013""","Beaufort, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,24036,24225,25635,26679,28237,29796,31883,32751,32525,33340,34354,36711,37056,37538,38554,39151,40279,41643
8," ""37015""","Bertie, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,22048,21604,22233,23227,24547,25469,26299,27148,27959,27873,27799,30260,30377,30954,31685,32116,33839,34766
9," ""37017""","Bladen, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,22997,21866,22864,24114,24678,24710,25991,27630,28055,29141,29465,30075,30696,31374,31914,32273,33917,34306
10," ""37019""","Brunswick, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,24402,23975,25240,28497,30611,31940,32759,33028,31985,31970,32859,34074,34755,36576,38418,40295,41619,42749
11," ""37021""","Buncombe, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,27980,28088,28258,30032,31302,33810,35329,35759,34127,34603,36040,38205,37995,40634,43164,44412,46143,48592
12," ""37023""","Burke, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,23520,23495,23499,24505,25373,25976,26796,27117,26733,27394,27788,28944,28975,30301,31772,32359,33747,35265
13," ""37025""","Cabarrus, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,29007,29139,29117,30307,31616,33427,34690,35241,33528,34538,35979,37167,37535,39223,41208,42529,43546,45220
14," ""37027""","Caldwell, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,24907,24691,24614,25804,26137,26612,27061,27337,26834,27063,27914,29216,28806,30018,31773,32272,33792,35374
15," ""37029""","Camden, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,27594,27411,28096,29138,32309,33416,36487,37102,36883,37739,39560,41038,40590,40697,42424,43184,43656,45335
16," ""37031""","Carteret, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,27686,27893,29322,31067,32737,34721,37164,38554,38775,39702,40443,41728,41165,42976,45004,46800,47248,49360
17," ""37033""","Caswell, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,22426,21927,21916,22562,22584,22889,23634,24933,25725,26531,27417,29232,30149,31654,32791,33394,34566,35591
18," ""37035""","Catawba, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,28218,28081,28595,29544,31306,33412,34485,35136,33502,34400,35418,36991,36632,38414,40533,41748,43318,45342
19," ""37037""","Chatham, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,34602,31155,32258,36301,38448,41277,45251,45662,43628,44678,46668,49528,49823,53695,55720,58600,59921,63041
