GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37000"""	North Carolina	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	5265782	5544020	5805918	6255576	6782867	7469222	8088686	8408327	7821087	8576004	9321271	10260824	10517238	11456931	11798644	12257861	12942706	13413760
" ""37001"""	Alamance, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	86924	93378	81163	85358	86121	99556	103910	104991	89505	99111	114291	114178	118452	128862	133434	124316	126774	128065
" ""37003"""	Alexander, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	(D)	2793	4522	7832	8755	8150	5440	5878	(D)	(D)	(D)	(D)	10689	10231	10384	13929
" ""37005"""	Alleghany, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	741	651	524	365	483	750	1061	865	(D)	1150	(D)	(D)	4250	4385	4921	(D)	(D)	(D)
" ""37007"""	Anson, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	3190	(D)	4608	6459	5920	7258	7544	7542	9369	10211	11425	10455	10594	15793	12404	11826	10422	10969
" ""37009"""	Ashe, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	(D)	(D)	3060	3171	(D)	(D)	(D)	2111	2456	2481	2728	4259	5038	4928	5243	6894
" ""37011"""	Avery, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	3591	5222	5199	5586	3589	4007	5421	6850	4336	3919	5233	7497	12958	15901	21160	22155	25099	27253
" ""37013"""	Beaufort, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	9271	8818	11876	17373	18094	24902	23854	25918	23697	30584	44175	39730	41416	46047	51052	56107	58615	71380
" ""37015"""	Bertie, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	2164	(D)	(D)	2535	2252	2667	2716	3121	3303	8335	9315	8754	9955	15106	15738	14162	10257	9826
" ""37017"""	Bladen, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	9083	21515	27986	22710	16300	14555	15935	16622	17443	11441	11700	4867	6285	8069	18348	18327	20249	25125
" ""37019"""	Brunswick, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	14137	17445	23275	20977	34937	38979	50806	50097	51310	45761	51756	51418	56036	54863	58666	78113	83068
" ""37021"""	Buncombe, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	116011	133401	150449	152153	171587	196202	221863	219252	196906	214284	232020	228369	244286	269915	306753	310357	299884	313362
" ""37023"""	Burke, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	15083	23249	28104	26408	30022	31877	29759	26828	21201	21792	24339	29903	37327	35655	34125	32768	35448	26539
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	65510	68789	88589	108558	122003	105034	123453	135310	139436	145989	174082	217465	284590	284927	296567	279993	381539	165172
" ""37027"""	Caldwell, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	14053	16099	14369	17093	17595	17440	20309	21297	19185	31009	25509	25360	24009	23919	27695	31525	35139	43793
" ""37029"""	Camden, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	1522	1754	1907	1450	1850	2341	(D)	(D)	19595	31053	23872	15416	2858	2047	9495	8583	2057	1912
" ""37031"""	Carteret, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	18269	21447	23614	21361	23948	27986	27095	39098	34135	33366	29721	32479	28975	30239	30229	34218	39799	44384
" ""37033"""	Caswell, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	1317	(D)	(D)	2368	(D)	2019	708	1050	2083	2620	2971	3180	3546	3348	7078	4765	4918	6257
" ""37035"""	Catawba, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	87676	93013	90467	104351	119489	146433	133215	132122	122240	133729	154595	173970	177425	186881	173366	191872	212585	201011
" ""37037"""	Chatham, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	8863	10307	(D)	12153	12769	18407	14095	16280	15461	17629	19169	20391	22142	34776	33827	38693	41516	37604
" ""37039"""	Cherokee, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	3560	(D)	(D)	2049	2043	2424	2652	2820	3615	4126	7403	8578	5698	6957	6595	6865	5603	5362
" ""37041"""	Chowan, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37043"""	Clay, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	248	296	(D)	781	675	460	577	784	762	583	669	940	935	1387	1467	1614	1530	1574
" ""37045"""	Cleveland, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	25633	25604	30491	30350	35224	49433	42488	30028	31193	56317	55930	57398	61610	60331	66345	76115	82481
" ""37047"""	Columbus, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	14252	10737	10317	18390	19396	23057	22826	27531	21903	26652	(D)	33853	34733	34367	34125	33741	32116	29367
" ""37049"""	Craven, NC	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	32790	37531	38230	45378	50856	61031	58841	63319	59976	49639	49764	57410	64276	77674	80016	79796	79779	74783
