GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37000"""	North Carolina	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	1348453	1382153	1420643	1497167	1498792	1766900	1922179	2029299	2040194	2003956	2079182	2197379	2289286	2494403	2562444	2734687	2815703	2948884
" ""37001"""	Alamance, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	24424	9827	9729	9577	11958	12458	13666	12135	13750	16517	15481	13985	15520	18113	18243	18659	17112	19142
" ""37003"""	Alexander, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	1309	974	923	1145	1089	1064	1431	1464	1274	1182	1378	1067	911	1148	1123	1704	1737	1757
" ""37005"""	Alleghany, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	2747	2978	3990	4180	4567	4570	4925	5655	4842	5869	6016	5397	5515	5915	5670	7732	7745	7712
" ""37007"""	Anson, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	(D)	(D)	176	214	152	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37009"""	Ashe, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	3429	2907	(D)	(D)	1906	(D)	2364	2365	1249	1714	2036	2130	2008	2036	2033	2141	2186	2205
" ""37011"""	Avery, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	11195	11584	(D)	(D)	(D)	15524	16929	17253	16180	16434	20267	20644	21775	24113	24238	27304	28400	30383
" ""37013"""	Beaufort, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	2183	1395	1913	1943	(D)	1719	1704	1638	1612	1769	1873	3688	3636	3509	3174	3661	3844	3988
" ""37015"""	Bertie, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	250	512	494	408	219	117	(D)	(D)	(D)	(D)	827	(D)	(D)	1068	1019	1510	1692	1543
" ""37017"""	Bladen, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	(D)	117	(D)	0	(D)	(D)	(D)	(D)	(D)	175	205	245	375	(D)	366	355	399	460
" ""37019"""	Brunswick, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	19337	20582	24267	26028	27443	28787	41495	44118	41177	39011	37849	41585	41183	42817	41178	42824	42870	41219
" ""37021"""	Buncombe, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	39357	44123	44364	47958	48324	57448	62814	68836	64108	62256	59954	65204	68481	74950	80401	93905	98982	133734
" ""37023"""	Burke, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	2620	2583	2471	2688	2673	2863	3141	3039	2926	3059	3012	3482	3487	3515	3700	3917	3936	3530
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	108857	107360	124919	131742	164331	163406	179632	197145	201203	175417	190179	240841	253735	276536	275129	293211	276011	267418
" ""37027"""	Caldwell, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	3182	3071	2602	2338	2222	3049	3229	3267	2550	2029	1905	2120	2171	3835	3867	3984	3448	3411
" ""37029"""	Camden, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	(D)	0	0	0	0	(D)	(D)	(D)	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37031"""	Carteret, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	13116	14534	14584	15001	14808	14214	13902	14834	15191	14925	14840	16382	16791	18268	18082	18637	19196	19438
" ""37033"""	Caswell, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	(D)	(D)	(D)	(D)	657	685	627	479	428	(D)	323	347	368	393	403	(D)	334	318
" ""37035"""	Catawba, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	32373	19894	21611	24002	23621	30359	28636	24435	22450	21501	21232	20849	21693	23024	21868	26094	30116	30558
