GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	174113335	176206894	183376885	197980982	211519107	229570540	245339716	257505459	243168101	243762027	247464422	267072169	266760383	280636099	293804903	304803991	319506471	334997096	351655768
" ""37001"""	Alamance, NC	5.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	2499258	2507296	2508832	2634741	2710633	2859782	2949739	2992735	2752500	2848719	2943304	3135913	3152497	3230783	3290297	3472675	3585176	3733060	3946448
" ""37003"""	Alexander, NC	5.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	394776	381965	404837	442309	460969	473341	479569	445802	417610	434906	418020	446351	464033	499145	515801	501845	539151	541540	553947
" ""37005"""	Alleghany, NC	5.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	156841	151370	147306	155722	165027	162402	160477	158644	155939	158269	157927	157440	150424	159544	164235	167489	175185	174423	183380
" ""37007"""	Anson, NC	5.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	357842	329710	327959	359282	367375	384367	390938	384470	360279	391011	383377	402587	400874	436964	465559	439828	459083	451290	454902
" ""37009"""	Ashe, NC	5.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	331420	337910	341747	358034	368069	394531	402216	404241	395624	405333	384256	407172	389869	388390	375299	392249	405624	415007	434725
" ""37011"""	Avery, NC	5.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	259635	261086	269244	278391	302370	304872	330568	315277	309324	308194	307497	318122	314194	322458	321397	330041	340459	353635	361052
" ""37013"""	Beaufort, NC	5.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	671059	654944	676983	721512	773247	803763	831745	845097	831147	853025	874606	924285	906003	911856	902876	929530	941529	952167	976897
" ""37015"""	Bertie, NC	5.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	237775	225963	230139	240737	255249	261064	282997	295938	309992	306451	274403	297614	298456	327241	336977	324830	349105	324073	340920
" ""37017"""	Bladen, NC	5.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	481354	449438	489490	528792	542440	543775	574566	604522	622268	665407	642649	656691	701601	738620	748214	741074	789852	760077	776074
