GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	228879962	232267281	241625829	261640155	281033775	306078047	329509436	350848256	338315713	341627602	355052267	379925288	376023938	397995957	419717441	434788999	455997111	479791844	500973833
" ""37001"""	Alamance, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	3596372	3658312	3774373	3849857	4003936	4357918	4663288	4856635	4728074	4846334	5052980	5258423	5274613	5541165	5789896	6022761	6287496	6650506	6982583
" ""37003"""	Alexander, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	845693	830492	841447	910357	945709	987424	1027068	1014545	1002350	1028703	1046610	1092204	1104870	1168623	1240564	1253397	1329299	1371872	1410711
" ""37005"""	Alleghany, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	267314	266367	266695	277453	287925	287128	300656	311724	316736	320735	330440	339312	336420	357046	375917	385233	394816	411684	428934
" ""37007"""	Anson, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	584657	555426	560875	609662	633801	669800	710214	713071	692502	718284	720677	745909	741919	796846	832790	814808	857760	867908	887558
" ""37009"""	Ashe, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	588163	588063	595563	625959	642726	685148	726903	760748	778959	788737	798542	840747	826104	834557	841737	867484	898512	942476	990892
" ""37011"""	Avery, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	402921	401648	406589	416423	434036	434876	470689	469557	483514	484007	499103	519536	516837	546014	558547	571329	601047	623387	645184
" ""37013"""	Beaufort, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1083647	1095366	1164296	1217025	1300549	1389138	1489016	1549002	1544467	1593869	1637152	1740776	1752013	1790794	1818863	1861443	1910004	1962531	2055658
" ""37015"""	Bertie, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	437185	428653	442379	464965	492348	507754	550362	573392	593181	592169	579713	620058	623028	653202	657501	645437	686523	680235	709064
" ""37017"""	Bladen, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	752312	716808	757470	812270	837425	842959	891088	957810	977785	1025538	1028083	1047479	1082907	1116422	1121037	1108818	1164115	1156551	1188216
" ""37019"""	Brunswick, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1854645	1877112	2033909	2374571	2689092	3000334	3243435	3410324	3383264	3454874	3619944	3816328	3981309	4307330	4674367	5091164	5445851	5920033	6302575
" ""37021"""	Buncombe, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	5850633	5950158	6074886	6551111	6937745	7658759	8152646	8359419	8065942	8260908	8690957	9308930	9372047	10113709	10835425	11339942	11901502	12687040	13239850
" ""37023"""	Burke, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	2105660	2099756	2102961	2190567	2271517	2335314	2415577	2461864	2437468	2481216	2515531	2603818	2584778	2699168	2828958	2897688	3051300	3156845	3276618
" ""37025"""	Cabarrus, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	3958383	4081090	4173537	4437865	4767611	5272634	5748712	6058411	5900642	6166179	6517015	6843384	7015137	7501146	8097789	8620471	9073456	9564613	10089975
" ""37027"""	Caldwell, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1952103	1948579	1953897	2050644	2096651	2152849	2207886	2256075	2221768	2246787	2301239	2397845	2366905	2456356	2599169	2662430	2802894	2902314	3008434
" ""37029"""	Camden, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	195919	203171	221786	245194	290487	311475	349181	363675	365108	377727	396468	410426	412556	421736	434425	448940	460202	480389	503860
" ""37031"""	Carteret, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1655371	1682256	1790582	1930097	2056951	2223134	2388093	2494439	2546386	2648031	2726031	2827606	2808576	2948157	3089114	3226766	3265826	3432675	3583559
" ""37033"""	Caswell, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	529483	521130	522321	537003	538113	549181	565175	596205	610323	630189	643131	673655	687613	701344	722022	741311	760400	781645	817213
" ""37035"""	Catawba, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	4087840	4081445	4163505	4343374	4652926	5026828	5257244	5405663	5179787	5324009	5471584	5723569	5664856	5945772	6297903	6555905	6874918	7132713	7397881
" ""37037"""	Chatham, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1781387	1677941	1776149	2041425	2193278	2426226	2717503	2821136	2735193	2852264	2991506	3196107	3256083	3579569	3811952	4105245	4294799	4616792	4826158
" ""37039"""	Cherokee, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	518785	521519	524239	541773	586192	625906	667088	704021	699197	703929	718791	752589	753125	779173	816071	833165	865550	907936	955693
" ""37041"""	Chowan, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	367184	355373	366999	392364	423131	436589	453229	459891	462124	450312	484673	503867	502938	508892	513651	523012	548144	570983	589982
" ""37043"""	Clay, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	203362	208783	213040	226355	247398	260323	273318	280774	276706	283590	286132	293640	296060	315009	331313	338836	352724	368802	386241
" ""37045"""	Cleveland, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	2309140	2317055	2364873	2507864	2606866	2711956	2838965	2893168	2784884	2852312	2940724	3060004	3043609	3180603	3307740	3361244	3511878	3643607	3785077
" ""37047"""	Columbus, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1222134	1201890	1235927	1302469	1402519	1439957	1498349	1600432	1568357	1594998	1611531	1655490	1687859	1695401	1681147	1720724	1757775	1800719	1873004
