GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	9172824	8815876	8845270	9505904	10399913	11545978	12436153	11815148	9688298	9062976	9027920	9364836	9641491	10447971	11440903	12544799	13544699	14777484	16161544
" ""37001"""	Alamance, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	126171	118851	125748	145235	138173	145452	160745	148154	121282	117555	109973	114704	122374	127550	133326	145402	156993	160399	212142
" ""37003"""	Alexander, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	9575	8733	9941	10395	10779	(D)	(D)	9506	8082	7615	7413	7700	7805	9007	9204	10087	11464	10006	13142
" ""37005"""	Alleghany, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	7263	6289	5695	6844	6979	7286	8319	8576	6266	5745	5802	5283	5065	5279	5304	5177	4706	5133	5281
" ""37007"""	Anson, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	9169	13425	9159	8587	12058	11607	10727	11981	9896	10375	8458	6530	5143	5597	8680	9924	11410	12817	14266
" ""37009"""	Ashe, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	24587	22661	23586	25792	27289	31752	34232	32679	24357	23800	22857	26277	25476	29275	32386	39770	45268	46076	50130
" ""37011"""	Avery, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	15299	15609	16251	17191	20983	24391	26906	25196	17837	15889	15609	14494	14445	16072	17841	16924	18088	21377	24362
" ""37013"""	Beaufort, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	26650	32749	27623	23597	33614	36492	39768	32467	27999	21656	19006	20305	24266	26742	26897	28693	30927	31908	35180
" ""37015"""	Bertie, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	3451	3656	(D)	(D)	10094	(D)	6459	5760	5319	3218	2952	2569	2974	3003	2912	(D)	(D)	(D)	(D)
" ""37017"""	Bladen, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	8931	6960	8732	10051	10044	11201	11852	12374	8631	8696	9252	8674	9490	10539	13177	13971	13634	14334	16998
" ""37019"""	Brunswick, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	75831	72588	82744	93461	101106	110875	110791	93977	79140	72647	64754	67397	78909	90023	98610	103878	118185	117657	142938
" ""37021"""	Buncombe, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	257375	245864	237712	259160	290461	298518	339434	324673	263411	237051	224603	229955	215750	244145	287402	303167	340097	420110	479234
" ""37023"""	Burke, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	31884	25313	24201	27168	27034	29920	32139	33646	24976	21625	20547	21248	21562	24212	27654	30162	29977	34798	34411
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	173658	168675	164003	180735	200060	216697	244536	221451	170533	149572	142915	159743	179621	196060	209150	232046	240848	256261	286705
" ""37027"""	Caldwell, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	34248	30778	30841	30795	33956	37017	40464	36386	27355	25460	22859	25259	31712	23798	24704	30190	31650	37025	40273
" ""37029"""	Camden, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	2572	2633	3266	3714	5447	10586	11081	7891	5518	4825	4194	3780	3225	3584	3485	3869	3970	4182	4291
" ""37031"""	Carteret, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	40887	38388	42182	51328	57882	68014	70159	69382	60358	54811	45742	47143	45782	49303	53450	55588	73125	75213	78741
" ""37033"""	Caswell, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	6434	6779	6210	6208	6240	8198	9898	7547	7126	6504	5628	4680	5603	7011	9749	9708	11537	17403	18616
" ""37035"""	Catawba, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	137373	125551	109254	106852	118308	136098	146497	137630	118980	125293	108251	97108	103716	112653	111291	123330	145826	165876	185070
" ""37037"""	Chatham, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	33009	26124	26081	28535	32969	40451	42468	37344	32880	31099	32685	32239	36945	37296	40188	46491	52392	55114	66681
" ""37039"""	Cherokee, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	18176	17475	18846	20164	24133	30193	32989	29349	20962	(D)	(D)	15694	(D)	(D)	18095	19608	20184	20915	20816
" ""37041"""	Chowan, NC	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	6202	6387	7315	8559	9276	9477	11252	9958	8365	7072	7142	7864	7979	8986	8082	9243	9991	9512	9050
