GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	1754856	1983062	2113493	2482970	2670369	3019964	3316311	3597074	4008176	4152526	4374138	4617694	4202585	5278535	5371124	5590737	5389838	5742953	6072660
" ""37001"""	Alamance, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	41195	49476	54877	61664	66631	74650	84832	93763	102974	107553	110405	118832	108386	130432	136290	145951	148460	154072	164184
" ""37003"""	Alexander, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	80	(D)	(D)	(D)	345	(D)	916	(D)	(D)	0	(D)	128	(D)	(D)	1804	(D)	(D)
" ""37005"""	Alleghany, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	0	0	0	(D)	(D)	(D)	0	0	0	(D)	(D)	(D)	390
" ""37007"""	Anson, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	0	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	226	207	214
" ""37009"""	Ashe, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	177	268	326	650	987	915	428	381	495	525	614	544	1281	1454
" ""37011"""	Avery, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	9141	8316	(D)	(D)	(D)	9255	9209	8909	8833	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37013"""	Beaufort, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	1719	2011	2208	2512	2850	3657	4623	4479	4315	4666	4889	5151	5145	5646	5338	5561	5604	5430	5255
" ""37015"""	Bertie, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	4844	(D)	(D)	(D)	(D)
" ""37017"""	Bladen, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	319	281	244	313	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1949	1998
" ""37019"""	Brunswick, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	3355	3546	5073	3844	3331	4398	6669	7478	7531	6797	6446	6173	6132	6788	9326	11166	11453	15101	15108
" ""37021"""	Buncombe, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	43877	55279	44393	48264	49955	53098	59368	65094	67022	69540	69736	73141	70577	84867	91086	101902	104108	107544	114145
" ""37023"""	Burke, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	3197	3755	4583	3108	3136	3392	3771	3654	3531	3324	3376	3639	3398	3743	3866	3853	4315	4343	5464
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	10295	12396	14995	19175	12344	24319	28850	29399	26644	23421	24262	27881	20602	23566	24314	30162	35408	33090	38203
" ""37027"""	Caldwell, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	1578	2243	2273	4085	3900	4302	2938	3238	3293	5066	3375	3457	3140	3467	3681	3533	2299	1944	2079
" ""37029"""	Camden, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37031"""	Carteret, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	2511	2693	2777	2359	3014	3247	3098	3579	4307	3980	3416	4960	4543	5617	5456	5175	12841	13522	14267
" ""37033"""	Caswell, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	100	0	0	0	(D)	(D)	0	0	(D)	(D)	(D)	(D)
" ""37035"""	Catawba, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	18977	20545	20143	21628	22825	24659	30294	32823	34514	34480	36111	38138	32463	38950	37272	41258	40673	47201	50318
" ""37037"""	Chatham, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	782	1140	1594	1610	1900	2115	2433	2713	3180	3240	3472	5011	5060	5156	4721	5323	5859	7521	9148
" ""37039"""	Cherokee, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	1272	(D)	(D)	1623	(D)	1959	2480	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37041"""	Chowan, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37043"""	Clay, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	0	0	0	0	0	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	684	671	631	649
" ""37045"""	Cleveland, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	46155	47162	45814	44771	45686
" ""37047"""	Columbus, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	2373	2635	3127	3207	3753	4074	4190	4422	3982	4182	3594	3795	3782	3646	2575	2117	2298
" ""37049"""	Craven, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	5928	5556	5723	6031	8500	9804	11298	12202	14293	15288	11994	12299	12610	14535	15183	19863	22881	23885	22608
" ""37051"""	Cumberland, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	31771	38094	41292	47409	51971	54558	73910	95427	133506	169710	196931	104650	83447	98129	96782	112329	108572	110045	108650
" ""37053"""	Currituck, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	0	(D)	(D)	(D)	(D)	(D)	(D)	716	727	266	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37055"""	Dare, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	773	731	981	1034	1415	1595	971	1219	1307	1209	1191	1136	1342	1787	1825	2089	2288	2240	2080
" ""37057"""	Davidson, NC	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	6373	8301	8776	9748	9810	10065	11268	10661	12228	12323	12059	12524	12809	13887	14092	17219	17944	19750	20772
