GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	18671663	19657908	21121291	22878918	24855985	26226984	27582351	28075819	28774662	29762841	28598403	30721367	30617687	33329846	33694393	34616742	35814151	38016792	39818440
" ""37001"""	Alamance, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	264840	276086	289658	307441	319914	331561	345129	346089	338020	345739	326037	362786	349463	380568	368192	385668	394944	417037	443220
" ""37003"""	Alexander, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	37656	39553	42327	48283	51337	53116	56219	56150	53603	53500	50495	54501	54250	57783	58729	58643	63148	66757	68556
" ""37005"""	Alleghany, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	14797	15004	15346	17315	19320	20037	19405	18958	19327	20210	18576	19735	19619	21453	21148	21845	22097	23138	24207
" ""37007"""	Anson, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	38354	39274	41714	47720	50773	51940	54332	55617	53440	55701	52785	55855	55272	59183	58092	56994	57343	60066	63410
" ""37009"""	Ashe, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	35355	38579	41443	44916	48003	49524	51002	49710	50305	50885	44764	47255	45215	47642	46469	48485	50159	52348	54292
" ""37011"""	Avery, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	23876	25569	27677	31222	33804	35554	37459	36773	38501	38884	35973	38358	38410	41815	41311	42778	44015	45947	47138
" ""37013"""	Beaufort, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	77490	80856	86080	95403	101082	105731	109799	110139	114208	116422	111216	114699	108502	116117	114790	117468	119383	122978	130581
" ""37015"""	Bertie, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	26855	27917	29504	33589	36154	39242	40215	40155	44416	44942	39669	42907	42127	48659	46015	45669	45478	46170	48055
" ""37017"""	Bladen, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	53392	56825	62509	67978	71179	74791	78483	75762	81530	85744	75669	84683	83038	94551	90764	91967	92580	97023	96804
" ""37019"""	Brunswick, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	112509	110665	119280	135656	148492	162448	170773	178432	185893	192060	180587	189827	196607	217636	220496	233056	237343	252515	267944
" ""37021"""	Buncombe, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	469052	481247	522197	570388	616947	653405	681144	694188	731342	756702	715583	779859	777098	853304	867154	898125	925370	984677	1035024
" ""37023"""	Burke, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	164409	167798	175090	194984	205524	212655	215320	215512	203800	208994	194305	211050	210344	220946	219689	220994	227138	237367	245872
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	275546	299667	319352	342848	376112	403210	429402	420224	418169	408420	370932	405327	415387	455414	467905	516262	551249	576232	596076
" ""37027"""	Caldwell, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	133953	140340	143700	149624	154757	156002	158923	156184	154820	155188	143576	149646	145709	156810	158998	165503	178774	191026	198845
" ""37029"""	Camden, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	5980	6577	7125	9251	9911	11941	12833	12080	13174	12825	10774	10815	10062	10370	10989	10629	10881	11178	11719
" ""37031"""	Carteret, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	85250	89617	97725	108428	118294	124099	127461	128996	132976	135918	126126	135739	136642	147628	148939	152612	160102	170541	178999
" ""37033"""	Caswell, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	17394	17324	17980	19449	20896	21554	23184	23576	24189	25046	23492	23740	23919	24479	24795	24973	26395	27772	29187
" ""37035"""	Catawba, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	426994	424594	429990	460651	490896	516533	532716	523178	506884	517187	491532	527936	518550	570574	584201	601720	635145	665791	680840
" ""37037"""	Chatham, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	66013	70138	75961	84079	90982	95427	95426	94996	92242	94049	85844	89224	89049	95855	93138	94603	100142	106575	113189
" ""37039"""	Cherokee, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	35042	35745	37561	41533	46122	45440	46165	46738	47714	48843	45157	47705	46672	50266	50877	51727	54326	57454	58506
" ""37041"""	Chowan, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	22693	23558	26576	30082	31447	32662	32786	30758	30480	30642	27700	29966	29074	32117	31272	31518	32642	35188	36041
" ""37043"""	Clay, NC	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	6918	7401	8153	9349	10480	11041	12106	11698	11511	12124	11141	12088	12063	13042	12963	13380	13455	14789	15626
