GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	9696992	9698056	10432839	10872144	11639398	12385151	13176576	13549032	13131804	13232796	13963060	14558400	14989656	15795088	16563983	16707332	17020386	17241978	18116390
" ""37001"""	Alamance, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	144593	139558	146052	150190	158131	164427	169812	172862	158366	157617	168541	177370	181398	186341	190540	196871	197849	198019	209568
" ""37003"""	Alexander, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	21517	20628	22697	23636	24554	25543	26207	26034	22522	22474	23673	24173	24514	25656	25791	25440	26241	25459	27213
" ""37005"""	Alleghany, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	6907	6627	6550	6910	7668	8030	8125	7868	7475	7352	7755	7619	8174	8634	8637	8329	8385	8210	8675
" ""37007"""	Anson, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	17345	16804	17468	18381	19546	19446	20178	20685	19015	19230	20186	20095	20090	21199	20980	20168	19703	19448	20669
" ""37009"""	Ashe, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	15112	15711	16584	17102	18912	19689	20905	20836	19429	19264	19162	19875	19928	20717	20657	21285	21771	21767	22628
" ""37011"""	Avery, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	11790	12022	13343	13794	15365	16223	17723	17490	16536	15862	16350	16898	17418	18632	18995	18963	19265	19265	19386
" ""37013"""	Beaufort, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	34558	34528	36877	38141	40649	42442	44555	45394	44504	44192	46725	46353	45805	47520	48768	49228	48727	47574	46980
" ""37015"""	Bertie, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	11742	11924	12193	12468	13344	14294	15316	15906	16976	16351	16180	15302	15490	16772	17011	16175	15888	14984	16698
" ""37017"""	Bladen, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	24946	25397	27469	27366	28970	29996	32074	32078	33709	33885	34433	32772	33264	34643	37635	36886	37184	36304	41041
" ""37019"""	Brunswick, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	50729	47887	54610	60251	65717	72058	76994	80085	79076	79696	80792	84495	88781	94464	99989	100327	104036	105132	110276
" ""37021"""	Buncombe, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	241567	240873	263392	273612	294006	314139	335839	342727	330773	329713	347630	364854	377195	402167	429194	438917	445716	456198	483475
" ""37023"""	Burke, NC	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	77830	75795	79578	82759	87278	87274	87409	87640	78038	77774	82835	85383	87322	89964	91827	89722	89005	86847	91464
