GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	8948378	9360690	9871385	10512441	11608707	13235427	13692420	13584429	12272516	13304601	13983244	14533506	15235273	16506106	17719467	18535580	20200221	21861720	23794121
" ""37001"""	Alamance, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	117349	111079	114082	121155	108289	120747	101382	112102	89622	87781	97971	108848	105474	116294	117950	126974	134991	133933	145562
" ""37003"""	Alexander, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	5058	5385	6020	6145	6519	6832	6769	6913	8027	8369	9029	9452	9811	9875	11061	11974	12742	12096	12789
" ""37005"""	Alleghany, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	3042	3113	2903	3007	3234	2991	3578	3570	3750	3946	3947	3269	3175	3226	3539	3752	3966	4627	4805
" ""37007"""	Anson, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	4140	4453	4916	4456	4247	4851	5089	4451	4836	4765	4317	4851	4914	5064	4635	4640	4853	5174	5012
" ""37009"""	Ashe, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	7608	7114	7798	8927	8914	9097	9283	10056	10144	10291	10096	10504	10560	11983	11768	11914	12513	12161	12887
" ""37011"""	Avery, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	2981	2319	2679	2547	2771	3428	4034	4211	4294	4227	4404	4197	4145	4684	4979	5337	5802	5318	4968
" ""37013"""	Beaufort, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	15516	15262	15936	15823	17403	19689	19808	18962	19110	20904	22342	23714	25268	26980	26815	23455	25842	25953	27842
" ""37015"""	Bertie, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	3078	3051	3003	3117	3233	3265	3259	3787	4049	4079	4008	3741	3781	3854	3994	3871	4008	3987	3985
" ""37017"""	Bladen, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	4471	4569	4564	5207	5221	5566	5224	5229	5746	6488	6898	7325	6844	6369	6324	6455	6815	6225	6217
" ""37019"""	Brunswick, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	15640	17318	20667	24553	29323	34981	37478	40533	43900	41736	39154	35353	36470	36745	38691	40341	44986	44864	48508
" ""37021"""	Buncombe, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	138167	137160	143031	147719	159136	183481	199734	211056	193931	201886	200123	203082	219280	240573	250502	267195	292624	291296	293769
" ""37023"""	Burke, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	17867	18254	19080	20403	21035	22799	23240	21932	20584	21690	22855	22240	24290	24687	24561	26530	27324	26452	28115
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	44442	40090	43015	48428	53778	53052	56097	56067	56426	57682	60762	57446	59416	66762	72946	88004	88160	93128	92080
" ""37027"""	Caldwell, NC	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	16712	15108	16094	17858	18567	20596	20359	22039	21435	22751	23472	24143	25232	23321	23125	23511	24974	25679	27919
