GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	311441	329443	342290	390382	386078	429034	437152	428800	466245	472137	477133	519154	532720	593603	616113	633747	640379	660479	680350
" ""37001"""	Alamance, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1429	1538	1779	1762	2212	2497	2760	3592	3632	(D)
" ""37003"""	Alexander, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	722	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37005"""	Alleghany, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37007"""	Anson, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	6609	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37009"""	Ashe, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37011"""	Avery, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37013"""	Beaufort, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	7586	7773	10152	9748	11713	12102	11607	11293	10820	10644	10947	10764	11865	11680	12221	(D)	(D)	(D)
" ""37015"""	Bertie, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	10106	9802	8853	9981	(D)	11329	11195	11424	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37017"""	Bladen, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	10317	10919	11979	(D)	(D)	(D)	(D)	15636	17950	19224	20729	23451	21800	24253	25315	26261	26692	29204	29390
" ""37019"""	Brunswick, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	6557	(D)	(D)
" ""37021"""	Buncombe, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	762	806	596	979	1057	(D)	1524	2130	2629	4123	4057	4116	3733	3883	4325	4778	5014	5559	(D)
" ""37023"""	Burke, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1166	(D)	(D)	(D)	(D)	(D)	(D)
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	1167	1064	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37027"""	Caldwell, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	700	667	658	899	1086	1594	1578	1531	1307	1163	1077	1215	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37029"""	Camden, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	2245	2684	3073	3622	3699	3629	3580	3319	3757	3506	3266	3682	4288	5039	5426	5508	5303	5213	5005
" ""37031"""	Carteret, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	1344	1439	985	683	843	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	835	864	(D)	(D)	(D)	(D)
" ""37033"""	Caswell, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37035"""	Catawba, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	809	579	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37037"""	Chatham, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	3785	5109	5296	4821	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37039"""	Cherokee, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37041"""	Chowan, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	4128	4351	4283	4832	4081	4122	4326	4468	4835	4302	3671	4378	4224	4788	5260	5325	5496	5333	4827
" ""37043"""	Clay, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37045"""	Cleveland, NC	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	555	576	234	662	545	667	1145	1238	(D)	1276	1376	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
