GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37000"""	North Carolina	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	31627932	32989638	35303296	37891656	40660095	42890068	46288009	49233556	50933464	52490261	52765707	53184884	53810584	53827305	56158360	57254177	58443751	60644959
" ""37001"""	Alamance, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	248490	263682	271836	286285	302391	319491	338812	355628	361293	363406	353255	353499	358636	360820	381716	387003	397710	412712
" ""37003"""	Alexander, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	50213	53767	57284	69785	76573	82585	88705	94170	96058	97820	96767	96826	99851	98867	101700	103855	107752	112930
" ""37005"""	Alleghany, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	22284	23834	24934	26660	28930	28192	27090	27143	28444	29353	31926	30202	30176	30436	31210	30527	31080	32184
" ""37007"""	Anson, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	86189	85566	90863	103734	109858	118376	125582	129391	122370	123292	120403	120037	122180	121727	120168	115905	111169	112171
" ""37009"""	Ashe, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	41808	44262	47366	50087	53152	55482	58809	59901	60921	61842	60743	58486	59333	58246	61675	61016	61630	63355
" ""37011"""	Avery, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	43687	46229	48514	51195	55334	59308	64014	66845	74745	76619	74272	74270	75741	75827	78764	79872	81678	83033
" ""37013"""	Beaufort, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	114617	115494	122669	128867	131283	135707	142861	146749	147570	148410	146184	143819	144650	144211	150263	149514	149537	153829
" ""37015"""	Bertie, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	44869	43845	44373	45800	46145	54561	60479	65274	70260	68696	66765	67015	68704	71901	73869	75146	75034	74172
" ""37017"""	Bladen, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	89109	89719	92438	98667	106717	111306	114735	120927	122322	128435	127745	128145	131915	129023	130366	128178	129730	134321
" ""37019"""	Brunswick, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	166936	171989	184674	199376	216969	231664	253176	279722	283333	290094	292973	288920	290664	294991	310358	316494	328616	349607
" ""37021"""	Buncombe, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	690060	693398	742665	793503	828767	883409	936768	1000683	1023979	1041073	1040820	1055621	1056635	1055677	1072248	1089759	1124544	1181819
" ""37023"""	Burke, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	331834	318216	323096	345094	362287	380631	403604	428724	398538	390617	372859	375902	383268	371260	385308	386209	391697	404333
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	434949	473616	509578	540448	576697	618910	685254	732700	728326	762175	738116	766120	786399	802300	869821	976779	1028831	1053959
" ""37027"""	Caldwell, NC	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	150700	154830	159855	169101	177118	187229	202577	203156	212912	217097	212466	210257	210677	207818	216766	217069	221289	225837
