GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	4915747	5339435	5525858	6082355	6520801	7006884	7377038	7908882	7296174	7723041	8363448	9108456	9031959	9804121	10401402	10500372	10761974	10928318	11491156
" ""37001"""	Alamance, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	178065	183138	172229	204242	204088	210583	224246	261241	171738	178707	187589	184769	42146	38670	28898	36977	56074	53978	44261
" ""37003"""	Alexander, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	5273	3582	2677	2331	2516	2128	1974	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	588
" ""37005"""	Alleghany, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	0	0	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37007"""	Anson, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37009"""	Ashe, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	8661	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	11164	(D)
" ""37011"""	Avery, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37013"""	Beaufort, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	4552	4541	4830	4985	5251	10862	13165	11805	11332
" ""37015"""	Bertie, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	(D)	0	0	0	0	0	0	0	0	0	0	0	0	(D)	(D)	(D)	(D)	(D)
" ""37017"""	Bladen, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1708	(D)	(D)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(D)	(D)
" ""37019"""	Brunswick, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	758	971	1064	1189	732	709	1004	786	698	660	578	129	(D)	(D)	208	366	487	(D)
" ""37021"""	Buncombe, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	48059	29542	27862	39901	40096	46789	54324	57930	57047	57918	51058	56992	62551	61869	64042	65756	70605	74540	77170
" ""37023"""	Burke, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	23289	24163	19811	36866	36086	36574	22401	20459	7267	4655	3536	3470	2378	2229	2776	3245	4195	4388	4966
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	28176	65420	66856	72033	75182	89543	94558	81976	65815	67901	68160	72372	77605	87426	92780	99410	105719	82323	86773
