GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	128226820	129355927	132495449	140034569	147656870	158432534	167623468	169535927	159968580	163599262	169238783	178540721	183394651	196240670	206581088	214821881	225372570	238097607	250780601
" ""37001"""	Alamance, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	2059090	2048415	2038655	2137351	2180034	2291723	2368065	2400103	2160726	2201059	2304562	2437302	2458887	2530561	2574487	2755288	2871857	2987514	3171357
" ""37003"""	Alexander, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	274939	269624	278451	293981	291974	300597	307711	295704	252723	253270	255730	263788	267646	285777	290000	298134	317334	320656	335518
" ""37005"""	Alleghany, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	87303	83957	78207	84379	89773	94451	92736	91356	85217	86135	83831	83197	89469	95029	96969	98774	100542	103655	109368
" ""37007"""	Anson, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	189803	191924	190626	199582	205045	203190	209529	213771	191910	202191	207187	210096	203450	220374	222437	222957	225174	233434	248722
" ""37009"""	Ashe, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	204774	214954	216671	227449	237126	248374	260062	262446	243427	244662	235058	247194	245755	252774	249490	267940	285945	297883	310046
" ""37011"""	Avery, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	146152	149037	159010	168523	176288	185816	199551	195040	177695	171358	172723	178782	181693	196486	201059	210389	219538	229387	231034
" ""37013"""	Beaufort, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	454315	459360	469802	500737	523825	555750	580723	585894	574574	580559	608287	607622	591988	616031	630138	653048	659836	670952	634085
" ""37015"""	Bertie, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	147011	153454	152008	161293	173614	177299	182478	188028	192560	190688	181791	181736	178481	193937	197366	192214	191776	191235	188263
" ""37017"""	Bladen, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	310492	321053	340067	343901	350407	365576	387801	381502	395265	398372	390243	405580	403299	429109	465342	480767	493206	507758	526760
" ""37019"""	Brunswick, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	676749	627999	693631	786105	839836	922747	986149	1012861	990011	1005906	991895	1053290	1112258	1186012	1241126	1296608	1374564	1436762	1524357
" ""37021"""	Buncombe, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	3261600	3283384	3427492	3623337	3849884	4129362	4396925	4465894	4280386	4350899	4438758	4699373	4873097	5235495	5626361	5925895	6194887	6560267	6935628
" ""37023"""	Burke, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	923077	939920	940611	1001775	1001462	1017353	1000366	978618	859780	878347	917664	972031	987456	1034747	1053068	1063633	1085389	1099255	1148179
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1905834	1993597	1971711	2073817	2252275	2416422	2555276	2509712	2298789	2176429	2153977	2299805	2441633	2593785	2770837	3037669	3284313	3226113	3395095
" ""37027"""	Caldwell, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	977361	974226	964153	983270	953926	943754	924931	911649	840753	830479	829033	824114	827194	853261	909985	977683	1074308	1150825	1182214
" ""37029"""	Camden, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	28251	30803	33768	42204	50236	71171	75145	74893	77600	84910	66230	56602	46000	43250	50979	45127	39877	37087	37319
" ""37031"""	Carteret, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	454959	470913	508610	540184	570199	605556	626155	645527	612974	606936	605405	645636	653128	697636	724618	756735	806175	833500	887855
" ""37033"""	Caswell, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	54261	52576	54503	55385	54979	59271	62555	63379	67182	70185	72414	68111	69047	72079	76619	73882	79926	90512	91597
" ""37035"""	Catawba, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	3210089	3068691	2978883	3123152	3223206	3458312	3530477	3450402	3086394	3168009	3318917	3405967	3469366	3676237	3947252	4084898	4351978	4523763	4655663
" ""37037"""	Chatham, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	453970	458478	470836	517954	531962	570615	569455	556518	502017	508714	502802	495155	511304	533242	541133	564520	598502	618043	646721
" ""37039"""	Cherokee, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	211899	205677	201155	211594	231337	238523	238432	243979	231571	234330	233055	240212	236321	247531	259303	263391	278061	287781	291371
" ""37041"""	Chowan, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	137757	138411	150544	161650	169056	176800	174139	166364	159647	156120	156404	161953	161402	172231	175260	173218	180284	189812	194851
" ""37043"""	Clay, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	35698	38105	39279	43839	47347	52334	57026	52250	45171	47282	46919	50203	50740	55525	54912	56566	56227	61839	65992
" ""37045"""	Cleveland, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1060356	1052911	1085835	1140861	1194435	1226526	1264826	1252921	1121992	1125921	1210923	1269760	1285963	1360299	1396161	1472018	1536612	1603585	1680958
" ""37047"""	Columbus, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	451920	455616	464694	485770	499320	508620	523022	530772	499110	512257	506246	524513	550545	542050	532458	548542	532697	552688	573634
" ""37049"""	Craven, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	858053	889144	949668	1020764	1089154	1165504	1253211	1203051	1135125	1129235	1126095	1207112	1210763	1283379	1320457	1349017	1370703	1403203	1469737
" ""37051"""	Cumberland, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	2495097	2678421	2793626	2932244	3161976	3238753	3459146	3598547	3649967	3727189	3773189	3794458	3791050	3807746	3844543	3950590	4032988	4214510	4377159
" ""37053"""	Currituck, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	82252	98389	114757	125908	132149	142249	161436	158062	154824	162766	196666	200220	217580	236282	251154	230843	248815	279757	285168
" ""37055"""	Dare, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	406660	458176	502193	540987	561274	577378	589296	581119	542714	530388	532534	574686	594692	619775	656473	669215	686535	705014	711854
" ""37057"""	Davidson, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1416446	1410072	1418004	1460926	1488111	1534200	1524200	1485481	1379710	1462570	1507402	1583711	1636473	1730845	1817919	1917196	2020238	2094575	2179720
" ""37059"""	Davie, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	302480	301591	301786	317653	327651	355603	371564	362045	320255	319192	325657	333006	363554	406211	451946	488042	529089	547834	587860
" ""37061"""	Duplin, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	407229	421758	421148	437275	428312	444969	489279	558219	544743	572226	585204	607944	615475	655484	649806	671322	660926	683773	704293
" ""37063"""	Durham, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	9256165	9059044	9194442	9876014	10220640	11196769	12409794	12914279	12845002	13091528	12665552	13385584	13798696	14948939	14952527	15173994	15859506	16969538	18172258
" ""37065"""	Edgecombe, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	662897	658582	673919	708759	703590	711848	703579	685161	661675	642547	625904	632770	570331	570725	571918	584208	583905	577643	561794
" ""37067"""	Forsyth, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	7291781	7348266	7604717	7982831	8242477	8595648	8950743	9128274	8717980	8830430	9061198	9506698	9427553	10290894	10678786	10685505	11313244	11455487	12102660
" ""37069"""	Franklin, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	273340	281194	298592	329388	369192	411342	453659	427433	425588	435088	421979	420798	428181	476536	492812	509195	552159	597917	598071
" ""37071"""	Gaston, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	2288335	2291473	2309206	2462676	2517807	2606781	2680097	2672049	2413588	2474857	2557677	2671777	2800020	2980006	3123182	3112091	3280901	3555722	3648270
" ""37073"""	Gates, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	26102	27096	27468	29782	31674	32306	30326	32147	32855	33810	31452	33225	32811	37439	39883	42461	43927	45214	50595
" ""37075"""	Graham, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	55133	55495	58980	60887	65822	72556	77655	77799	67675	68796	68920	71402	71660	70951	72679	65012	71505	79158	81195
" ""37077"""	Granville, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	445762	478599	485011	477056	499825	548830	578548	576998	551875	559209	559934	586825	585587	611714	641109	702718	748827	738183	735678
" ""37079"""	Greene, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	65085	64934	65531	69570	67981	71109	78810	88919	86966	83839	77068	80745	75619	81129	89196	93032	101321	106659	113677
" ""37081"""	Guilford, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	10413892	10388034	10652078	11067643	11527259	12197517	12715551	12923244	12060211	12190031	12665305	13296972	13649791	14362196	15037345	15144807	15845223	16328265	17030021
" ""37083"""	Halifax, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	389925	396114	406833	421466	438337	467104	469004	474140	464418	478154	483705	489035	498091	502874	502257	509093	512708	529351	549410
" ""37085"""	Harnett, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	534037	545434	571240	632985	662747	707189	724619	710175	660716	654827	648837	684589	697621	755290	797689	859826	909858	941677	992953
" ""37087"""	Haywood, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	412869	424975	437955	461036	479607	508262	556286	536652	505322	521266	518013	556320	562860	605159	648066	675560	691181	731915	758474
" ""37089"""	Henderson, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1070377	1092333	1111496	1170423	1210094	1289290	1333579	1344823	1225614	1253970	1280250	1326991	1363096	1423842	1466463	1555658	1634815	1746482	1844589
" ""37091"""	Hertford, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	225229	237533	251394	269561	276449	290431	307408	323375	320481	327153	317046	333779	338506	358231	318303	320723	331869	355333	377099
" ""37093"""	Hoke, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	144316	152362	157987	164155	175930	181461	203936	199884	202543	210248	196868	211513	232840	229335	232505	260573	284744	283362	293427
" ""37095"""	Hyde, NC	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	28512	30010	32592	36585	34945	32242	34415	36296	35023	38259	42695	45877	45140	51455	53492	52939	54760	50807	50999
