GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	11563892	11692330	12004875	12409932	13130053	13664284	14378231	14208072	13348553	13516866	13667838	14301735	14904151	15648344	16234058	16838224	17163883	17711833	18679320
" ""37001"""	Alamance, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	187345	188862	187366	185235	204347	218603	226756	220898	209943	206850	220971	230987	236658	240497	243260	272516	287936	298958	318233
" ""37003"""	Alexander, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	20376	21859	23705	21934	22602	23159	21832	21412	20755	18942	18871	19027	19883	21372	19825	20568	20467	20913	21592
" ""37005"""	Alleghany, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	7521	6859	7053	7321	7758	10251	8853	8534	7904	7319	6880	7280	7104	8880	8520	8944	8597	8912	8999
" ""37007"""	Anson, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	13725	13974	14372	14620	14943	18235	22276	24093	23276	19780	20155	19469	18589	19297	19027	19179	19329	20364	19495
" ""37009"""	Ashe, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	22505	25778	26309	26495	27478	29072	32447	30531	28877	28027	27462	28704	28856	29588	30021	31785	32546	34076	34137
" ""37011"""	Avery, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	17435	17391	18633	19059	20171	22309	24236	24134	23368	24146	23182	23454	23862	24996	24065	24472	24459	25301	27026
" ""37013"""	Beaufort, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	49075	48989	51402	52388	54245	57774	60892	61337	58314	59278	60336	62627	64476	66655	67805	70506	67509	66526	64800
" ""37015"""	Bertie, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	8818	8374	8480	8407	7801	7578	7771	8632	8173	8458	8234	8033	8185	8096	9161	8992	8327	7612	7673
" ""37017"""	Bladen, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	23435	21205	19710	19590	18558	19592	20054	21128	20224	20158	20586	21567	22076	22255	25679	26271	25465	25627	26207
" ""37019"""	Brunswick, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	77550	80592	85891	99988	107005	110983	120572	118558	120296	120303	125262	127057	130238	138255	145437	153758	160398	170292	184301
" ""37021"""	Buncombe, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	346447	348301	364708	372168	404665	432273	452318	453245	429641	430779	442291	466246	482741	504491	533157	567482	581843	599626	614560
" ""37023"""	Burke, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	74643	71890	72214	73019	71367	70061	72568	71527	67438	66767	72073	70006	73101	78089	81448	84250	89654	90615	94590
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	197623	209044	237694	254703	266640	279847	296062	300681	275168	282705	285860	309313	316901	342866	362894	373847	379982	396639	416035
" ""37027"""	Caldwell, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	73953	73676	74738	74880	74140	70176	72121	79266	77337	79959	76593	74242	75353	77373	80580	81990	81779	82696	86862
" ""37029"""	Camden, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	4741	5166	4484	5363	6067	5227	5344	5236	4805	4616	4471	4063	3931	4060	3800	3666	3748	3206	3215
" ""37031"""	Carteret, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	83740	86321	90021	95687	99051	108933	112063	110663	104281	101762	104164	113112	118238	125041	131681	136695	139709	142808	154089
" ""37033"""	Caswell, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	5453	5126	5549	5359	5375	5425	5353	5676	5875	6542	7098	6913	7321	6927	6855	7237	7127	7149	7372
" ""37035"""	Catawba, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	263981	270843	282932	289764	301825	300876	308114	297913	269247	273781	280183	294904	308036	314770	369397	366005	398551	412645	422667
" ""37037"""	Chatham, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	51249	52699	50600	52558	53322	57573	58584	52228	53295	53402	52016	44466	44565	46860	47079	49198	52036	55292	56807
" ""37039"""	Cherokee, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	32000	34573	36398	39593	39757	41351	42138	40669	38021	36300	34995	35208	35005	37279	38064	39303	40681	42212	44700
" ""37041"""	Chowan, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	13297	13834	14054	14427	14127	16162	16594	17182	14920	16097	16349	17911	16211	17293	19724	17916	17082	17944	19380
" ""37043"""	Clay, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	7162	8526	8646	8866	9523	10916	13233	12904	11977	13188	14357	13972	12477	12463	13486	12019	12013	12821	13128
" ""37045"""	Cleveland, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	90628	96736	111220	115334	118917	122459	122789	127137	121181	120789	120031	125382	129617	132221	133612	135671	136708	135858	137315
" ""37047"""	Columbus, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	51890	48682	53875	54133	55842	58417	60779	61016	57266	59081	57423	56421	57862	63795	63134	63080	59644	59875	64876
" ""37049"""	Craven, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	97496	99023	104569	111212	120845	125549	128719	127908	123427	126697	127889	133730	137602	144221	148332	160844	166452	171783	179666
" ""37051"""	Cumberland, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	382149	402319	400580	422016	451881	456666	454476	461196	450464	457318	459816	473703	487706	496321	516797	536704	537627	542602	563999
" ""37053"""	Currituck, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	19741	22722	25839	29236	31750	32454	33057	30558	29190	29932	30108	33872	34037	35529	37761	37651	38529	42279	44217
" ""37055"""	Dare, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	81238	90599	98850	104730	107181	108522	108097	104907	98046	98828	96771	108145	111621	113380	119691	119618	122983	124576	132913
" ""37057"""	Davidson, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	123044	126716	130204	132563	137626	134630	126453	126659	124527	122232	133330	145745	158509	158639	156378	161038	169431	173077	171486
" ""37059"""	Davie, NC	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	32810	27919	26512	27560	33947	36953	41540	40031	38336	37553	37390	41212	49620	42336	43994	46706	45702	46356	49274
