GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	5471108	5153254	5182630	5504466	5644147	5785483	5971121	6012870	5623354	5633078	5895918	6147649	6339890	6779321	7284061	7508583	8056672	8706575	9356887
" ""37001"""	Alamance, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	54468	45880	42314	41699	53954	51009	48069	47352	46516	45098	47161	51678	53216	54606	56667	58617	66610	74755	78604
" ""37003"""	Alexander, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	7467	5313	4740	5236	5734	6225	7008	6980	6399	6649	7002	7325	6629	6255	6965	6735	8019	9134	9232
" ""37005"""	Alleghany, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	5238	5781	5750	6605	6263	5753	4794	3885	2120	3179	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37007"""	Anson, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	14069	12242	9685	10637	10985	10750	11224	13134	14420	15065	17958	18511	30095
" ""37009"""	Ashe, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	2248	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	2777	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37011"""	Avery, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	4878	4536	4721	4997	(D)	(D)	(D)	6317	6104	5300	5642	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37013"""	Beaufort, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	16594	19550	20587	21058	19778	19308	18210	15066	15719	(D)	(D)	(D)	18986	19781	20312	(D)	(D)	(D)
" ""37015"""	Bertie, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	4902	5939	6298	7027	7170	6885	6679	6293	(D)	(D)	(D)	(D)	5481	4811	4611	6192	7129
" ""37017"""	Bladen, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	9147	9820	10301	13030	13534	11816	12785	13914	15561	16216	15747	15469	16635	16048	15880	15539	14471	14688	15457
" ""37019"""	Brunswick, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	41613	27303	29150	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	23955	26862	31080	36466	37864	44194
" ""37021"""	Buncombe, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	156921	110863	102948	116563	137209	151570	162453	162817	(D)	(D)	168436	186020	187307	194649	221247	172579	182123	183907	205782
" ""37023"""	Burke, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	18800	21305	23479	28336	27367	33721	34206	37363	28165	26060	23566	21830	17518	15113	12536	12498	10106	9169	10066
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	73682	71059	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	149276	220624	190238
" ""37027"""	Caldwell, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	49270	48561	50677	49332	49474	52913	52247	46857	(D)	47110	39392	23621	23845	24566	28549	27600	32940	39793	43845
" ""37029"""	Camden, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1119	4743	5271	5671	5060	3959	1231	1954	1101	1160
" ""37031"""	Carteret, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	11868	11030	10280	14826	17627	17414	17167	13593	10198	9857	10062	12372	12634	15547	15921	15015	13929	15427	15022
" ""37033"""	Caswell, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	493	574	467	481	499	512	708	657	1064	1491	984	1161	1821	1890	1580	1556	1604	1457
" ""37035"""	Catawba, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	142613	156144	169774	180481	188063	168823	(D)	164935	(D)	(D)	(D)	(D)	(D)	(D)	(D)	257728	269472
" ""37037"""	Chatham, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	10318	9584	9802	11054	11096	10826	11674	11941	10200	10395	10281	12677	12518	(D)	14470	16778	16457	(D)	(D)
