GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37000"""	North Carolina	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	8275236	8647282	9068291	9839792	10451306	11181340	12007655	12066848	11313225	11666793	12265087	12945052	13333504	14239770	14718444	15086709	15963431	16151158	16979271
" ""37001"""	Alamance, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	113622	111635	112551	120703	124349	143441	149066	144972	131531	136492	145496	142943	146512	160396	179423	195103	217847	203032	220306
" ""37003"""	Alexander, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	5435	4447	5599	6383	7573	5980	6615	6448	5901	5979	5703	6157	6259	7022	6808	7594	7666	(D)	(D)
" ""37005"""	Alleghany, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	738	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	936	(D)	502	328	289	477	502	696
" ""37007"""	Anson, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	17509	17676	21409	19820	20575	22288	22662	21293	18128	19773	21692	20909	21300	20464	21336	21826	22418	20207	17507
" ""37009"""	Ashe, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	3019	3391	3917	4357	5781	5686	12088	13268	14656	16623	20183	21464	23274	23618	27917	30876	35535	39337
" ""37011"""	Avery, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	(D)	(D)	(D)	5181	4973	5694	(D)	(D)	(D)	(D)	5719	5483	5594	5927	5823	6643	7082	7809
" ""37013"""	Beaufort, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	29632	27960	23219	24457	26259	30152	32833	36813	35899	37436	35496	33925	35535	35764	37942	37739	48253	55236	66194
" ""37015"""	Bertie, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	5508	4935	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	9898	10700	6089	(D)	4241	5376	(D)	(D)	(D)
" ""37017"""	Bladen, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	(D)	8842	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37019"""	Brunswick, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	(D)	(D)	(D)	55924	68301	74030	73895	69314	70141	72238	76926	69828	40640	36963	37413	39060	44321	48212
" ""37021"""	Buncombe, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	165843	169390	178283	181007	193338	213442	216361	217808	193917	205848	213093	209032	206031	226772	234580	239894	246571	251413	262581
" ""37023"""	Burke, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	42271	38812	32451	31589	31786	31824	29184	26409	22789	20511	21291	26416	25521	27502	26367	32486	35413	28586	27736
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	117065	123606	125208	152038	172556	197779	199878	194929	180456	175926	173376	193540	198702	207635	232507	(D)	(D)	(D)	388230
" ""37027"""	Caldwell, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	82324	93789	101168	115145	116003	124259	129181	131652	126079	120180	129222	123805	113808	120316	129319	145345	184807	129590	141923
" ""37029"""	Camden, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	1649	1987	1868	2026	1881	(D)	2546	2189	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37031"""	Carteret, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	23454	22173	29939	31809	32098	30783	36388	37519	36937	31716	31975	34051	34521	36850	36717	37079	40265	41070	31758
" ""37033"""	Caswell, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	821	595	905	1381	2765	3271	3502	3883	4371	4143	4697	3334	1912	1321	1254	1420	1225	1138
" ""37035"""	Catawba, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	199575	184821	189385	211486	224419	232783	211961	217972	236139	234930	247549	279611	300354	321352	349094	341264	(D)	(D)	(D)
" ""37037"""	Chatham, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	18067	17776	21604	25356	24218	26214	33560	29838	21686	24418	27899	29106	29100	31990	38953	40145	42211	46796	40589
" ""37039"""	Cherokee, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	3602	3828	4322	4900	4508	4173	4130	3660	5500	7375	7291	7815	4622	4676	5402	6823	7605	7766	6663
" ""37041"""	Chowan, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	12544	12448	12994	12835	12654	13661	15298	15658	16486	16666	17527	19422	21854	22064	21150	19019	20715	19676	21738
" ""37043"""	Clay, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	(D)	(D)	(D)	881	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1269	1322	1391	(D)	1549	2977
" ""37045"""	Cleveland, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	64075	63012	56714	56143	61886	67307	64843	65765	58269	58197	(D)	(D)	(D)	(D)	(D)	(D)	64455	64427	72440
" ""37047"""	Columbus, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	20976	22578	14321	14941	17150	18654	21666	19127	20305	20446	19621	20046	20510	21459	21058	20361	20292	21267	20422
" ""37049"""	Craven, NC	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	41467	45898	42903	43813	44766	48730	53243	54636	52470	59306	59904	61164	65333	70654	76269	70087	62010	66446	70128
