GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37000"""	North Carolina	5.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 1/	Thousands of dollars	160371299	162957779	168340289	178493489	188859252	201920367	214653542	219438233	211454924	216515016	222527671	232370554	237874021	250729957	263501208	271845644	283403091	298666892
" ""37000"""	North Carolina	5.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	132002644	133601815	136786159	144742427	152363869	163308232	173894615	177813382	169548458	173519379	179966208	187090787	192266678	201605023	212899864	221474327	232229403	245399095
" ""37000"""	North Carolina	5.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	28368655	29355964	31554130	33751062	36495383	38612135	40758927	41624851	41906466	42995637	42561463	45279767	45607343	49124934	50601344	50371317	51173688	53267797
" ""37000"""	North Carolina	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 2/	Thousands of dollars	18671663	19657908	21121291	22878918	24855985	26226984	27582351	28075819	28774662	29762841	28598403	30721367	30617687	33329846	34054582	33680781	34168208	36123442
" ""37000"""	North Carolina	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	9696992	9698056	10432839	10872144	11639398	12385151	13176576	13549032	13131804	13232796	13963060	14558400	14989656	15795088	16546762	16690536	17005480	17144355
" ""37000"""	North Carolina	5.0	CAINC6N	9.0	...	Average compensation per job (dollars) 3/	Dollars	39318	40256	41827	43679	45384	47223	48995	50224	50878	52495	53289	54781	55341	57120	58621	59236	60862	62997
" ""37000"""	North Carolina	5.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	516547	612214	541544	567264	542287	597765	742065	668750	552880	425493	523181	644949	668786	661982	643046	776330	729138	648630
" ""37000"""	North Carolina	5.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	159854752	162345565	167798745	177926225	188316965	201322602	213911477	218769483	210902044	216089523	222004490	231725605	237205235	250067975	262858162	271069314	282673953	298018262
" ""37000"""	North Carolina	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	128226820	129355927	132495449	140034569	147656870	158432534	167623468	169535927	159968580	163599262	169238783	178540721	183394651	196240670	206699802	213815137	224230202	237373303
" ""37000"""	North Carolina	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	311441	329443	342290	390382	386078	429034	437152	428800	466245	472137	477133	519154	532720	593603	616658	628724	635394	660192
" ""37000"""	North Carolina	5.0	CAINC6N	101.0	113	    Forestry and logging	Thousands of dollars	140939	138909	141389	155754	145091	149107	154633	143508	136344	140189	134980	143216	138119	158516	165020	166871	167751	167982
" ""37000"""	North Carolina	5.0	CAINC6N	102.0	114	    Fishing, hunting and trapping	Thousands of dollars	4273	2297	2081	2586	2467	2210	2429	1782	1980	2118	1982	2149	1457	1583	1330	1337	1699	1890
" ""37000"""	North Carolina	5.0	CAINC6N	103.0	115	    Support activities for agriculture and forestry	Thousands of dollars	166229	188237	198820	232042	238520	277717	280090	283510	327921	329830	340171	373789	393144	433504	450308	460516	465944	490320
" ""37000"""	North Carolina	5.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	238281	192076	197715	217919	248077	282044	304743	250216	214984	165555	173712	177855	176269	177385	195121	206063	235323	243449
" ""37000"""	North Carolina	5.0	CAINC6N	201.0	211	    Oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	0	0	(D)	(D)	(D)	974	1461	1274	2364	2084	2198	2175	1542	(D)	(D)
" ""37000"""	North Carolina	5.0	CAINC6N	202.0	212	    Mining (except oil and gas)	Thousands of dollars	199832	184509	188559	210152	240928	272251	294027	237155	206140	154747	156183	153393	150984	157788	173978	183068	210071	220005
" ""37000"""	North Carolina	5.0	CAINC6N	203.0	213	    Support activities for mining	Thousands of dollars	(D)	(D)	(D)	7767	7149	(D)	(D)	(D)	7870	9347	16255	22098	23201	17399	18968	21453	(D)	(D)
" ""37000"""	North Carolina	5.0	CAINC6N	300.0	22	   Utilities	Thousands of dollars	(D)	1206308	1193011	1245215	1218429	1300848	1314107	1365634	1336765	1399223	1415956	1414259	1566711	1722946	1752970	1868415	1829179	1964930
" ""37000"""	North Carolina	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	9172824	8815876	8845270	9505904	10399913	11545978	12436153	11815148	9688298	9062976	9027920	9364836	9641491	10447971	11446616	12507167	13414372	14663010
" ""37000"""	North Carolina	5.0	CAINC6N	401.0	236	    Construction of buildings	Thousands of dollars	2498509	2468992	2477684	2569537	2866065	3142242	3344531	3050556	2435412	2202517	2145137	2376986	2423819	2598293	2902616	3198106	3351568	3822339
" ""37000"""	North Carolina	5.0	CAINC6N	402.0	237	    Heavy and civil engineering construction	Thousands of dollars	1575288	1433184	1389816	1510427	1633104	1780192	1827347	1727702	1404448	1366207	1386041	1513163	1557656	1688510	1850795	2068307	2281065	2488193
" ""37000"""	North Carolina	5.0	CAINC6N	403.0	238	    Specialty trade contractors	Thousands of dollars	5099027	4913700	4977770	5425940	5900744	6623544	7264275	7036890	5848438	5494252	5496742	5474687	5660016	6161168	6693205	7240754	7781739	8352478
" ""37000"""	North Carolina	5.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	32690625	31231371	30662668	31190700	31542262	32133216	32975377	32097132	28669242	28818732	29380447	30198650	30963025	32300322	33649494	33636297	34804574	36136586
" ""37000"""	North Carolina	5.0	CAINC6N	510.0	321,327-339	    Durable goods manufacturing	Thousands of dollars	17648660	16235847	15867518	16684872	17231367	18042469	18620011	18043362	15748919	15685963	16282919	17240443	17745790	18231794	19286005	19397619	20138300	21152033
" ""37000"""	North Carolina	5.0	CAINC6N	511.0	321	     Wood product manufacturing	Thousands of dollars	1017769	1007670	994143	1076239	1171881	1179099	1116756	985124	734019	727596	733423	758300	823861	907574	949256	974823	1039252	1090289
" ""37000"""	North Carolina	5.0	CAINC6N	512.0	327	     Nonmetallic mineral product manufacturing	Thousands of dollars	1011688	910925	861379	869625	901940	959515	999430	944133	784635	763186	781294	839661	854095	901958	958127	994025	1037835	1107928
" ""37000"""	North Carolina	5.0	CAINC6N	513.0	331	     Primary metal manufacturing	Thousands of dollars	385184	366809	357471	428522	468314	532632	552262	557441	456100	462349	512484	552179	550593	593261	624291	589831	611073	644052
" ""37000"""	North Carolina	5.0	CAINC6N	514.0	332	     Fabricated metal product manufacturing	Thousands of dollars	1846752	1817521	1823025	1911482	2022830	2183695	2243645	2140004	1819383	1836252	1877563	2071258	2101119	2171050	2264728	2311660	2378169	2479847
" ""37000"""	North Carolina	5.0	CAINC6N	515.0	333	     Machinery manufacturing	Thousands of dollars	1813592	1709507	1702411	1789935	1908529	1999063	2106451	2128306	1825222	1893258	2071992	2208548	2250074	2410252	2522033	2598672	2733823	2952372
" ""37000"""	North Carolina	5.0	CAINC6N	516.0	334	     Computer and electronic product manufacturing	Thousands of dollars	4808402	3944710	3707407	3818850	3757775	4183688	4609924	4449578	4227362	4132585	4107200	4272164	4459291	4094098	4236488	4299725	4437979	4655057
" ""37000"""	North Carolina	5.0	CAINC6N	517.0	335	     Electrical equipment, appliance, and component manufacturing	Thousands of dollars	1988292	1679707	1575723	1665527	1701056	1682631	1705536	1741185	1631348	1664075	1753200	1789248	1859493	1895107	1979920	1940148	2027364	2082554
" ""37000"""	North Carolina	5.0	CAINC6N	518.0	3361-3363	     Motor vehicles, bodies and trailers, and parts manufacturing	Thousands of dollars	1454422	1514570	1532380	1679552	1774251	1763047	1679241	1560027	1274883	1246308	1402825	1547088	1570476	1759914	1938365	1861653	1976080	2153829
" ""37000"""	North Carolina	5.0	CAINC6N	519.0	3364-3369	     Other transportation equipment manufacturing	Thousands of dollars	331375	338028	350995	420539	509632	574442	662106	732963	623974	614298	633120	690146	695074	813471	879550	931369	958740	972615
" ""37000"""	North Carolina	5.0	CAINC6N	521.0	337	     Furniture and related product manufacturing	Thousands of dollars	2242255	2186383	2179883	2217720	2161516	2084425	2024136	1841549	1433762	1404676	1412219	1469389	1503014	1581357	1719147	1744973	1790899	1820410
" ""37000"""	North Carolina	5.0	CAINC6N	522.0	339	     Miscellaneous manufacturing	Thousands of dollars	748929	760017	782701	806881	853643	900232	920524	963052	938231	941380	997599	1042462	1078700	1103752	1214100	1150740	1147086	1193080
