GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37000"""	North Carolina	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	8779999	8721595	8879491	9459612	10502448	11909017	13145200	13930870	13617657	14224621	15192000	16402279	16761522	18105334	19643121	20804345	22497406	25344815
" ""37001"""	Alamance, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	79415	80057	72107	68282	64360	70166	76032	81163	85816	71676	76697	78890	78855	76701	83969	92033	102770	108969
" ""37003"""	Alexander, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	6883	8225	7857	7415	8283	9801	11752	11849	11484	13296	15514	16138	16743	17298	(D)	(D)	(D)	(D)
" ""37005"""	Alleghany, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	739	1139	1273	1516	1845	1737	2175	2878	2408	(D)	2566	1689	(D)	(D)	(D)	2070	2299	2963
" ""37007"""	Anson, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37009"""	Ashe, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	3639	2104	2104	2400	(D)	2344	2297	3323	2688	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	4320
" ""37011"""	Avery, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37013"""	Beaufort, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	20672	23556	22771	23798	29164	30339	24821	17883
" ""37015"""	Bertie, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	3014	2209	2095	2452	1464	1565	1672	1984	1855	1693	2054	2074	1884	1314	(D)	(D)	(D)	(D)
" ""37017"""	Bladen, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	4702	(D)	(D)	6448	6185	7195	6797	6844	7482	7678	9020	7853	6569	7748	8647	6792	7449	(D)
" ""37019"""	Brunswick, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	41364	34050	34262	29772	35854	43794	45190	47045	50519	60522	60664	66657	79653	(D)	(D)	91518	78506	74299
" ""37021"""	Buncombe, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	161893	177533	184451	216990	236036	262742	277847	282396	251839	247732	265583	300174	318007	344820	370821	395953	404340	432959
" ""37023"""	Burke, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	19465	20017	18881	19872	21885	24295	22472	21855	21220	22996	26165	24997	22409	22348	25328	25352	26102	27736
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	78659	91381	99263	109421	125797	141662	148731	166926	157673	160631	160747	121342	114304	115485	128768	147908	159645	165850
" ""37027"""	Caldwell, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	16085	16976	17963	17061	16338	(D)	16604	17197	17370	17778	20062	21215	24231
" ""37029"""	Camden, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	1438	1638	1587	1980	2211	3218	3539	8107	(D)	7846	9794	8743	10679	10224	9537	5369	5719	4502
" ""37031"""	Carteret, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	28834	30517	33535	30022	31481	35975	37974	42296	42776	47954	41709	40660	37757	38504	43756	45932	44885	47779
" ""37033"""	Caswell, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	1708	1820	(D)	2104	2198	2180	2454	2551	2738	2561	2331	2512	2709	2933	2601	2891	3780
" ""37035"""	Catawba, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	57214	63664	60866	69388	70614	79032	85009	92483	90866	98644	130826	131318	129349	139707	153668	163370	194075	219601
" ""37037"""	Chatham, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	20471	22592	29007	32310	33394	32943	33023	33409	31662	(D)	39676	36960	42118	44566	48739	51302
" ""37039"""	Cherokee, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	6862	4677	3987	4239	4981	5389	7141	17590	18431	20990	22846	24006	24890	25405	25249	23361	25597	27478
" ""37041"""	Chowan, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	3938	5293	5057	5921	6012	5327	5774	6215	6470	6519	7068	7707	9332	10014	10729	10479	11195	13316
" ""37043"""	Clay, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	1736	1541	1929	1887	2513	2695	2088	2481	2286	2320	1929	2391	2099	1913	1255	1484	1197	1486
" ""37045"""	Cleveland, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	34388	22577	22613	20426	24184	30931	31052	30611	30800	30874	28829	29604	30982	31381	35137	38098	41570	50067
" ""37047"""	Columbus, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	9072	13650	12726	(D)	10338	11562	(D)	10685	10525	12693	12038	13312
" ""37049"""	Craven, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	65057	77741	87748	91211	97012	107113	118549	118886	120643	131721	125709	134550	127711	136598	125787	118778	113407	(D)
" ""37051"""	Cumberland, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	126033	132219	147317	171746	212997	233538	290541	349453	377825	382526	392007	447195	441264	394560	379387	376438	424867	445312
" ""37053"""	Currituck, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	3676	3439	3361	4133	4619	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	17454	(D)
" ""37055"""	Dare, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	18751	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37057"""	Davidson, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	33439	27947	24931	25442	33449	38766	40925	48498	57953	46085	47926	41432	38563	38707	44682	56238	52797	49616
" ""37059"""	Davie, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	14832	(D)	(D)	11726	(D)	(D)	(D)	(D)	(D)	(D)	19336
" ""37061"""	Duplin, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37063"""	Durham, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	1118832	1073003	1051723	1214555	1361813	1558962	1747622	1843261	1870900	1965650	2053289	2223646	2218362	2472410	2699403	2734373	2975122	3291973
" ""37065"""	Edgecombe, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	8479	8676	9188	9066	8868	12291	12705	12711	11805	7987	6636	6542	8625	10970	8695	8115	9150	9424
" ""37067"""	Forsyth, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	454737	474077	411001	400772	446805	484515	566589	558616	549335	565613	578970	610429	609181	648663	650342	639614	744743	734861
" ""37069"""	Franklin, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	5347	6735	7290	7742	(D)	10304	15054	16559	19968	21726	24017	(D)	15606	(D)	(D)	19464	22215	34241
" ""37071"""	Gaston, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	54568	55379	61689	68100	74190	81637	83602	85379	83138	81057	86112	86009	84060	88728	84245	96238	108639	120145
" ""37073"""	Gates, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	1441	1545	1583	1662	1714	1847	1880	1925	1883	1826	1205	(D)	1058	1008	1152	1239	1253	1544
" ""37075"""	Graham, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	1035	1257	1298	(D)	1747	(D)	(D)	1756	1445	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37077"""	Granville, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	7933	7933	8205	7568	8806	10402	10756	11560	12560	12116	12687	(D)	14109	(D)	12568
" ""37079"""	Greene, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	459	1221	419	370	824	827	904	1237	1519	1471	1691	2019	2332	2102	2672	2994	3590	3018
" ""37081"""	Guilford, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	705790	665212	667001	680745	705334	751326	791825	838525	791015	803296	858558	923306	955851	938189	969484	998891	1084435	1128987
" ""37083"""	Halifax, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	7866	14958	14274	15905	18727	19774	8039	8321	9340	10330	9367	9102	9191	9489	9782	9308	9832	9613
" ""37085"""	Harnett, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	22001	18174	18902	22087	24612	23312	24679	25535	24297	26173	29186	28662	27529	29194	33302	35912	41267	46163
" ""37087"""	Haywood, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	16265	21676	22880	23811	28422	32741	37298	33726	33226	31969	29271	25283	24489	25588	24255	31560	26777	27867
" ""37089"""	Henderson, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	25899	30014	32193	34460	35186	42158	44414	46285	45932	46260	46795	49447	55461	58517	61201	62606	66507	73489
" ""37091"""	Hertford, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	4528	4293	5319	(D)	(D)	(D)	(D)	(D)	4544	(D)	(D)	(D)	(D)	(D)	(D)	3491	3872	4032
" ""37093"""	Hoke, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	1399	1842	3336	6261	9398	8307	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37095"""	Hyde, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	205	(D)	(D)	(D)	889	739	364	441	1713	(D)	(D)	1685	606	691	289	509
" ""37097"""	Iredell, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	51583	53107	56058	68842	81857	86786	112556	115301	105896	103217	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37099"""	Jackson, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	27270	25256	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37101"""	Johnston, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	37036	36680	43580	52041	57142	58341	52759	54807	55240	62866	64692	65902	69018	75202	(D)	95429
" ""37103"""	Jones, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	2173	2532	(D)	2648	3751	2861	1264	(D)	(D)	(D)	2764	1768	1241	1431	1508	2195	2258	1816
" ""37105"""	Lee, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	18317	22245	23272	25127	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	32104	28241	30119	43869
" ""37107"""	Lenoir, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	30541	33773	32344	30670	31499	31710	28848	32504	34179	34539	51377	67859	45488	35448	38605	39479	43179	45507
" ""37109"""	Lincoln, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	13010	14120	16103	16285	17982	20500	23464	23828	24952	26685	30860	40194	42670	43882	46258	50017	53693	61029
" ""37111"""	McDowell, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37113"""	Macon, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	20226	23747	26284	25943	26544	30929	33100	35037	36290	37663	41294	44149	47134	51109	53023	51480	53120	54067
" ""37115"""	Madison, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	911	1334	(D)	(D)	(D)	(D)	2196	2056	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37117"""	Martin, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	7736	9830	2471	2844	3231	3582	4660	5364	5738	5370	6095	(D)	(D)	(D)	(D)	6203	5690	6220
