Series ID	Region Name	Region Code	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
NCALAM1POP	Alamance County, NC	37001	96.502	98.5	99.7	99.9	99.3	98.2	98.7	98.5	98.5	99.0	99.319	100.083	101.0	101.559	101.706	102.524	103.515	105.072	106.327	107.425	108.695	110.762	112.825	114.678	116.788	118.796	121.263	123.877	126.232	128.743	131.469	133.417	135.276	136.05	137.642	139.306	141.505	144.846	147.921	150.244	151.44	152.696	153.282	154.199	155.425	157.1	160.392	163.529	166.436
NCALEX3POP	Alexander County, NC	37003	19.466	20.3	21.2	22.1	22.7	22.9	23.1	23.6	24.1	24.7	24.999	25.26	25.572	25.865	26.097	26.348	26.557	26.796	27.078	27.423	27.652	28.095	28.453	29.208	29.949	30.496	30.967	31.668	32.492	33.274	33.742	34.046	34.402	34.605	35.245	35.637	36.054	36.412	36.625	36.822	37.235	37.028	36.925	37.016	36.992	36.96	37.142	37.146	37.353
NCALLE5POP	Alleghany County, NC	37005	8.134	8.3	8.7	8.8	9.0	9.0	9.3	9.3	9.4	9.6	9.587	9.664	9.754	9.722	9.699	9.549	9.53	9.55	9.519	9.578	9.622	9.756	9.83	9.87	10.02	10.174	10.241	10.287	10.437	10.567	10.674	10.735	10.727	10.753	10.75	10.733	10.869	10.983	11.04	11.024	11.139	11.017	10.945	10.905	10.895	10.861	10.926	11.023	11.161
NCANSO7POP	Anson County, NC	37007	23.488	23.8	24.1	24.5	24.4	24.7	24.8	24.9	24.9	25.2	25.649	25.427	25.317	25.208	24.997	24.848	24.605	24.336	24.117	23.755	23.498	23.564	23.761	24.483	24.698	24.63	24.977	25.134	25.34	25.288	25.277	25.283	25.243	25.06	25.476	25.468	25.279	25.158	25.143	25.045	26.852	26.508	26.312	25.964	25.974	25.62	25.182	24.878	24.877
NCASHE9POP	Ashe County, NC	37009	19.571	20.0	20.0	20.2	20.5	20.7	20.9	21.3	21.6	21.8	22.325	22.44	22.496	22.605	22.681	22.716	22.394	22.398	22.361	22.317	22.206	22.416	22.511	22.786	23.099	23.339	23.691	23.865	23.989	24.181	24.448	24.592	24.743	24.87	25.12	25.135	25.288	25.53	25.75	25.905	27.228	26.984	26.927	26.849	26.772	26.637	26.611	26.803	27.109
NCAVER1POP	Avery County, NC	37011	12.655	13.2	13.5	13.6	14.1	14.2	14.2	14.2	14.2	14.3	14.409	14.529	14.572	14.644	14.76	14.723	14.687	14.809	14.828	14.868	14.925	15.024	15.162	15.377	15.472	15.665	15.931	16.123	16.255	17.04	17.31	17.694	17.848	17.865	17.922	17.893	18.05	17.905	17.985	17.895	17.765	17.728	17.576	17.614	17.615	17.455	17.423	17.505	17.505
NCBEAU3POP	Beaufort County, NC	37013	35.98	36.3	36.3	36.9	37.2	38.1	38.9	39.4	39.7	40.2	40.355	41.095	41.613	42.025	42.372	42.211	41.975	41.903	42.171	42.179	42.374	42.673	42.945	43.349	43.683	43.888	43.882	44.12	44.423	45.001	44.907	44.934	44.95	45.03	45.098	45.401	45.835	45.818	46.308	46.395	47.807	47.655	47.418	47.372	47.328	47.385	47.37	47.051	47.079
NCBERT5POP	Bertie County, NC	37015	20.528	20.9	20.9	20.7	20.6	20.9	21.0	21.3	21.2	21.0	21.024	21.014	21.048	21.132	21.023	21.001	20.806	20.677	20.522	20.497	20.39	20.459	20.32	20.445	20.419	20.439	20.257	20.129	19.964	19.903	19.703	19.571	19.368	19.225	19.145	18.976	18.664	19.384	19.371	19.262	21.245	20.854	20.491	20.326	20.321	20.167	19.432	19.274	19.026
NCBLAD7POP	Bladen County, NC	37017	26.477	26.9	27.4	28.1	28.7	29.2	29.3	29.7	30.0	30.1	30.491	30.393	30.147	29.845	29.76	29.615	29.393	29.2	29.076	28.941	28.676	28.991	29.311	29.655	30.277	30.665	30.977	31.595	31.969	32.143	32.218	32.409	32.222	32.302	32.57	32.535	32.435	32.348	32.45	32.373	35.192	34.892	34.829	34.642	34.386	34.14	33.704	33.468	33.19
NCBRUN9POP	Brunswick County, NC	37019	24.223	25.8	28.5	31.4	33.3	33.9	34.5	34.4	34.7	35.2	35.777	37.155	38.703	40.523	42.828	44.808	46.78	48.428	49.546	50.169	51.271	52.402	54.173	56.333	58.348	60.627	63.177	66.021	68.618	71.367	73.768	76.162	78.541	80.89	83.664	88.217	94.423	99.714	104.119	106.763	108.065	110.167	112.002	114.92	118.308	122.211	126.302	130.735	136.744
