,Series ID	Region Name	Region Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
BPPRIV037001	Alamance County, NC	37001	370.0	448.0	651.0	547.0	685.0	676.0	1067.0	1226.0	1633.0	888.0	945.0	950.0	1411.0	1163.0	1366.0	1484.0	1988.0	1441.0	760.0	561.0	847.0	556.0	358.0	561.0	606.0	1032	1353	1223.0	1419.0	1407.0
BPPRIV037003	Alexander County, NC	37003	96.0	103.0	115.0	111.0	106.0	102.0	136.0	146.0	146.0	169.0	166.0	164.0	164.0	167.0	189.0	157.0	179.0	296.0	192.0	133.0	47.0	49.0	74.0	52.0	53.0	65	43	87.0	97.0	93.0
BPPRIV037005	Alleghany County, NC	37005	81.0	68.0	81.0	75.0	89.0	111.0	92.0	138.0	131.0	146.0	151.0	95.0	95.0	82.0	107.0	113.0	144.0	122.0	80.0	46.0	39.0	34.0	20.0	35.0	17.0	17	29	18.0	39.0	49.0
BPPRIV037007	Anson County, NC	37007	31.0	44.0	43.0	35.0	28.0	33.0	38.0	42.0	46.0	39.0	31.0	48.0	77.0	39.0	72.0	60.0	54.0	56.0	40.0	27.0	31.0	21.0	28.0	34.0	33.0	36	41	43.0	45.0	47.0
BPPRIV037009	Ashe County, NC	37009	162.0	213.0	189.0	184.0	173.0	183.0	167.0	232.0	247.0	276.0	239.0	276.0	291.0	282.0	291.0	340.0	351.0	381.0	203.0	104.0	90.0	70.0	86.0	88.0	75.0	77	84	95.0	94.0	115.0
BPPRIV037011	Avery County, NC	37011	212.0	132.0	164.0	128.0	134.0	128.0	113.0	136.0	125.0	180.0	148.0	180.0	161.0	187.0	267.0	288.0	369.0	200.0	119.0	77.0	50.0	55.0	84.0	73.0	44.0	47	90	92.0	118.0	131.0
BPPRIV037013	Beaufort County, NC	37013	158.0	131.0	192.0	110.0	140.0	190.0	201.0	204.0	319.0	297.0	190.0	214.0	221.0	214.0	255.0	316.0	218.0	240.0	175.0	171.0	211.0	308.0	381.0	165.0	170.0	148	216	179.0	140.0	162.0
BPPRIV037015	Bertie County, NC	37015	50.0	58.0	154.0	175.0	154.0	36.0	28.0	23.0	33.0	24.0	28.0	36.0	77.0	43.0	63.0	36.0	23.0	41.0	37.0	19.0	24.0	29.0	21.0	14.0	20.0	18	25	12.0	11.0	19.0
BPPRIV037017	Bladen County, NC	37017	81.0	57.0	125.0	48.0	97.0	78.0	80.0	80.0	77.0	66.0	63.0	86.0	127.0	90.0	118.0	88.0	114.0	86.0	61.0	40.0	38.0	49.0	43.0	61.0	80.0	42	41	41.0	31.0	52.0
BPPRIV037019	Brunswick County, NC	37019	667.0	606.0	766.0	766.0	903.0	963.0	1122.0	1384.0	1532.0	1533.0	1449.0	2104.0	2642.0	2870.0	3829.0	4710.0	4418.0	3431.0	2103.0	1223.0	1079.0	914.0	1249.0	1765.0	1973.0	2325	2428	3342.0	2926.0	3352.0
BPPRIV037021	Buncombe County, NC	37021	816.0	986.0	1280.0	1023.0	1188.0	1014.0	1479.0	1346.0	1405.0	1245.0	1327.0	2151.0	2158.0	1737.0	2073.0	2549.0	2249.0	1877.0	1675.0	909.0	1588.0	545.0	652.0	892.0	1312.0	1353	2422	1900.0	1667.0	2096.0
BPPRIV037023	Burke County, NC	37023	253.0	235.0	283.0	310.0	353.0	297.0	277.0	312.0	333.0	321.0	302.0	304.0	291.0	260.0	243.0	266.0	315.0	322.0	172.0	142.0	113.0	84.0	71.0	104.0	94.0	224	184	187.0	285.0	290.0
BPPRIV037025	Cabarrus County, NC	37025	928.0	860.0	778.0	928.0	1285.0	1311.0	1917.0	1793.0	1771.0	2877.0	1724.0	2039.0	1965.0	1909.0	2153.0	2659.0	2701.0	2152.0	1367.0	1078.0	671.0	710.0	1244.0	1442.0	1554.0	1763	1918	1657.0	2021.0	2714.0
BPPRIV037027	Caldwell County, NC	37027	336.0	297.0	328.0	391.0	307.0	326.0	385.0	316.0	346.0	444.0	442.0	403.0	414.0	340.0	394.0	362.0	319.0	314.0	203.0	124.0	132.0	118.0	64.0	84.0	164.0	168	93	108.0	212.0	73.0
BPPRIV037029	Camden County, NC	37029	56.0	48.0	46.0	58.0	48.0	59.0	86.0	79.0	81.0	77.0	63.0	79.0	158.0	188.0	132.0	141.0	113.0	91.0	161.0	18.0	16.0	15.0	16.0	42.0	20.0	20	36	52.0	81.0	83.0
BPPRIV037031	Carteret County, NC	37031	385.0	352.0	542.0	573.0	760.0	720.0	666.0	662.0	601.0	681.0	459.0	560.0	650.0	614.0	744.0	1035.0	757.0	453.0	297.0	171.0	216.0	607.0	277.0	258.0	230.0	345	329	631.0	378.0	493.0
