Series ID	Region Name	Region Code	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
ATNHPIUS37001A	Alamance County, NC	37001	28.74	29.24	30.43	35.39	40.1	0.0	0.0	0.0	46.28	47.53	53.61	56.67	60.46	68.22	69.34	71.0	72.75	74.0	75.13	77.89	82.38	86.06	89.29	93.14	96.04	100	103.89	105.61	106.79	106.76	109.01	111.06	112.08	112.55	111.91	107.33	103.9	101.88	102.88	102.09	105.36	107.78	112.75	119.96	125.63
ATNHPIUS37003A	Alexander County, NC	37003																		73.86	77.96	71.81	79.6	80.26	89.91	91.1	95.55	100	104.78	106.86	108.06	108.47	114.13	120.88	124.79	126.36	124.36	120.63	115.66	111.06	109.66	112.15	115.94	116.24	121.37	127.06	135.24
ATNHPIUS37005A	Alleghany County, NC	37005																							78.49	89.1	93.42	100	108.57	108.59	109.63	120.08	125.45	141.96	155.14	151.04	150.48	148.78	133.85	133.73	126.21	127.24	133.9	132.6	143.18	138.44	140.4
ATNHPIUS37009A	Ashe County, NC	37009																					71.6	75.86	80.37	85.61	90.67	100	106.5	111.61	114.5	123.22	136.11	145.91	157.34	163.92	159.32	146.88	141.37	137.76	136.23	134.77	136.32	138.68	137.89	146.02	153.59
ATNHPIUS37011A	Avery County, NC	37011																					70.18	73.85	78.21	82.22	87.86	100	106.04	111.7	111.01	119.36	129.74	140.34	147.44	151.67	147.54	136.05	131.12	127.72	123.7	126.3	122.48	127.64	121.44	129.34	142.22
ATNHPIUS37013A	Beaufort County, NC	37013											57.01	59.89	62.73	64.71	65.09	71.92	72.36	74.92	74.5	77.78	79.03	84.94	86.94	91.63	94.58	100	104.67	108.69	110.91	117.89	129.16	145.71	156.06	158.67	150.04	145.83	141.93	137.52	136.23	131.04	131.2	139.51	136.95	140.66	141.23
ATNHPIUS37015A	Bertie County, NC	37015																			75.83	78.49	75.37	85.08	86.08	94.1	94.96	100	100.99	105.94	109.19	113.84	122.01	131.65	134.71	144.42	135.71	138.3	134.59	128.04	126.65	122.6	124.1	130.33	129.45	132.49	126.99
ATNHPIUS37017A	Bladen County, NC	37017																		75.83	73.05	79.24	86.84	80.71	86.26	87.58	91.04	100	102.17	104.4	105.63	110.03	123.35	121.27	130.31	133.89	134.45	124.21	123.39	125.85	122.17	126.61	130.7	129.8	133.65	139.46	133.89
ATNHPIUS37019A	Brunswick County, NC	37019									36.98	40.48	49.31	50.39	53.05	51.91	55.1	54.77	57.87	60.02	62.37	65.16	70.8	74.54	81.16	87.1	92.79	100	104.65	108.78	113.75	128.23	154.15	177.23	183.49	178.3	162.03	147.15	137.9	131.8	131.55	133.51	138.55	142.86	151.08	162.28	174.59
ATNHPIUS37021A	Buncombe County, NC	37021		29.12	29.11	33.14	33.91	38.67	37.59	41.55	42.19	47.37	48.6	50.01	52.95	55.89	57.92	61.13	62.99	64.85	66.91	68.99	73.96	78.13	83.98	88.7	93.29	100	106.02	111.36	115.44	123.58	137.36	151.94	163.44	165.74	159.27	150.06	143.88	141.18	144.27	152.87	162.76	176.2	188.02	202.89	210.36
ATNHPIUS37023A	Burke County, NC	37023											50.71	52.92	55.0	59.24	61.21	63.96	68.36	67.17	70.62	73.12	77.33	80.91	85.18	89.15	92.24	100	103.79	105.82	106.89	110.38	112.07	117.28	124.11	124.61	123.58	120.06	115.27	111.33	111.07	110.53	111.48	113.09	117.55	126.05	134.82
ATNHPIUS37025A	Cabarrus County, NC	37025		30.01	33.37	37.5	43.35	45.51	43.61	50.77	49.15	53.39	54.93	56.52	60.47	64.68	68.47	69.96	71.82	73.16	75.07	77.0	80.83	83.45	89.92	92.28	95.7	100	103.42	105.37	105.96	107.71	111.16	117.13	124.49	127.44	123.97	115.75	110.58	104.92	105.16	109.51	114.85	121.16	130.03	139.64	151.19
ATNHPIUS37027A	Caldwell County, NC	37027												61.43	64.73	66.09	67.31	72.71	74.62	72.83	74.28	75.46	79.32	81.95	87.5	91.3	95.13	100	106.52	108.35	108.3	108.85	111.85	116.6	120.77	120.81	118.46	114.38	108.21	106.6	105.43	106.79	108.07	113.21	115.59	121.35	129.84
ATNHPIUS37029A	Camden County, NC	37029																		72.69	78.65	83.15	87.91	84.8	89.59	91.38	93.77	100	103.27	108.94	112.05	128.52	157.78	183.24	192.92	186.56	179.44	168.84	160.48	158.39	153.58	157.61	158.11	149.46	156.95	161.16	165.12
ATNHPIUS37031A	Carteret County, NC	37031											53.57	55.09	59.69	58.83	61.4	63.4	64.51	66.23	67.7	71.84	77.02	81.34	85.67	89.75	94.56	100	104.46	108.28	112.72	122.04	147.19	171.47	182.97	178.72	171.86	161.34	152.2	149.35	145.14	143.72	149.51	151.56	154.05	162.09	173.74
ATNHPIUS37033A	Caswell County, NC	37033																				75.91	84.33	83.13	90.44	90.39	93.06	100	106.01	108.1	111.29	110.97	115.07	116.47	125.3	127.63	122.42	119.96	114.84	115.57	112.19	117.58	109.84	122.37	116.13	123.0	128.04
ATNHPIUS37035A	Catawba County, NC	37035				40.16	42.69	47.66	48.38	45.37	52.7	53.5	55.56	57.23	59.58	63.89	66.16	69.45	70.99	72.9	74.23	76.98	81.09	83.82	87.79	91.26	94.8	100	104.24	105.58	106.86	107.54	110.47	114.16	119.34	121.32	118.03	113.34	108.59	106.85	106.74	106.95	109.36	113.01	118.35	125.22	135.38
ATNHPIUS37037A	Chatham County, NC	37037												56.47	60.34	62.67	66.02	66.78	68.96	69.35	71.43	76.1	81.33	84.71	89.16	91.89	95.94	100	104.93	108.17	110.21	112.34	117.82	127.16	133.41	135.77	131.13	125.69	122.41	121.29	122.19	124.96	131.35	133.86	143.91	147.61	158.63
ATNHPIUS37039A	Cherokee County, NC	37039																								89.65	93.59	100	105.13	109.26	113.51	121.56	137.76	156.73	164.1	157.14	152.1	130.39	122.45	112.45	108.71	110.71	113.98	123.27	127.01	131.04	140.32
ATNHPIUS37041A	Chowan County, NC	37041																		74.89	71.82	74.74	75.88	83.4	86.18	89.16	93.93	100	104.55	108.95	111.19	121.74	141.33	159.51	161.36	164.87	156.42	147.96	136.69	135.03	129.38	127.76	131.98	134.62	135.74	145.29	145.66
ATNHPIUS37043A	Clay County, NC	37043																							87.05	86.82	90.61	100	108.52	112.96	115.05	124.71	141.58	152.11	161.41	161.69	150.19	135.08	121.81	117.44	114.34	105.92	117.81	121.38	125.51	132.03	133.55
ATNHPIUS37045A	Cleveland County, NC	37045											54.34	60.01	63.81	67.13	68.84	71.79	72.93	72.97	74.32	78.2	81.28	85.43	89.91	94.81	96.06	100	104.58	107.28	108.91	110.95	114.1	118.08	122.66	124.36	120.77	115.09	113.77	110.01	108.46	105.8	112.47	111.82	118.78	126.94	135.36
ATNHPIUS37047A	Columbus County, NC	37047																		71.43	69.97	76.61	76.36	84.48	88.04	88.9	95.01	100	102.69	103.64	104.88	107.95	114.98	128.47	130.78	132.79	127.87	122.86	117.73	114.14	111.78	111.47	109.19	117.86	108.33	116.66	117.62
ATNHPIUS37049A	Craven County, NC	37049				43.82	47.25	52.97	0.0	59.19	58.93	59.96	65.16	64.79	67.15	73.11	75.45	78.24	79.97	80.61	80.6	83.35	88.0	89.53	93.01	94.66	96.8	100	102.93	104.67	106.43	113.79	125.3	141.21	151.9	148.06	142.84	134.23	130.43	126.29	123.16	123.2	123.43	127.75	128.95	133.72	143.07
ATNHPIUS37051A	Cumberland County, NC	37051								57.4	56.76	63.58	66.28	67.61	71.23	73.09	76.1	77.55	79.57	81.61	84.43	87.73	92.05	94.07	96.34	97.3	97.88	100	102.63	103.98	104.35	107.44	113.48	121.33	126.92	128.51	129.35	128.7	127.94	124.55	122.53	120.22	120.34	121.2	119.14	122.35	125.17
ATNHPIUS37053A	Currituck County, NC	37053																	80.16	80.73	80.86	80.32	83.99	81.68	86.37	90.59	93.46	100	107.87	117.74	127.68	146.46	177.25	199.58	198.6	191.33	177.38	162.97	152.8	147.52	146.13	144.35	149.44	150.72	157.86	159.1	169.14
ATNHPIUS37055A	Dare County, NC	37055											50.11	54.91	59.76	67.4	72.74	76.01	76.29	76.48	76.83	76.2	77.98	79.45	83.52	85.92	89.92	100	111.59	127.53	144.99	172.87	207.25	218.04	211.21	202.52	186.04	170.22	166.33	163.34	163.59	166.65	169.88	177.06	184.12	189.28	194.54
ATNHPIUS37057A	Davidson County, NC	37057			46.08	40.93	42.67	48.39	44.54	43.9	51.95	56.22	59.92	60.32	63.82	66.53	70.53	70.98	73.49	73.2	74.09	76.45	79.92	83.09	87.45	91.57	95.12	100	103.54	105.44	106.08	107.09	111.77	115.57	119.69	120.07	118.06	111.73	107.94	106.07	105.21	103.85	108.04	110.23	114.49	119.21	124.63
ATNHPIUS37059A	Davie County, NC	37059												60.92	63.33	66.05	67.09	70.29	69.34	69.45	72.34	78.18	81.38	86.41	89.38	92.1	94.81	100	103.62	106.6	106.55	108.03	113.46	119.85	120.35	120.84	118.26	114.97	111.48	108.65	109.03	109.49	112.42	114.89	118.52	120.78	128.9
ATNHPIUS37061A	Duplin County, NC	37061																		66.05	70.48	74.5	71.59	79.05	84.39	88.42	91.6	100	102.19	104.84	104.36	109.12	115.47	121.09	123.57	130.86	127.48	120.96	120.19	117.09	112.18	113.18	111.88	117.03	125.3	124.25	125.07
