RegionName	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12
Mecklenburg County	NC	Charlotte-Concord-Gastonia	37	119	49	189900.0	194500.0	190000.0	194000.0	190000.0	190000.0	189750.0	189900.0	185900.0	185000.0	184900.0	178000.0	175000.0	175000.0	175000.0	179407.5	179900.0	179900.0	179000.0	178999.5	175000.0	175000.0	174900.0	173995.0	174900.0	177930.0	182500.0	184900.0	184900.0	184900.0	179900.0	185000.0	182000.0	184900.0	183000.0	185000.0	188900.0	199500.0	206900.0	211995.0	214500.0	214375.0	210000.0	209990.0	209900.0	209000.0	205000.0	200000.0	199000.0	200000.0	215000.0	220999.5	224500.0	224875.5	222227.0	219900.0	219900.0	219945.0	219995.0	219990.0	225000.0	230000.0	233000.0	242990.0	249970.0	250000.0	251490.0	250000.0	249000.0	254345.0	254900.0	250000.0	264450.0	274900.0	279900.0	285990.0	289900.0	289000.0	289900.0	281990.0	284900.0	286390.0	285000.0	289900.0	288200.0	285000.0	294500.0	300000.0	304990.0	305000.0	299000.0	295500.0	299900.0	300000.0	300000.0	306400.0	310900.0	320000.0	325000.0	319900.0	318650.0	319000.0	315000.0	312900.0	315000.0	315000.0	314900.0	313900.0	312000.0	318990.0	318000.0	324990.0	321890.5	320000.0	318759.5	314990.0	315000.0	315000.0	318999.5	318999.0
Wake County	NC	Raleigh	37	183	56	247945.0	245000.0	239900.0	239900.0	244900.0	239900.0	234950.0	235000.0	234900.0	234900.0	234900.0	229990.0	229000.0	227000.0	225000.0	229900.0	230000.0	230000.0	229990.0	230000.0	229900.0	232000.0	230000.0	229900.0	229900.0	230000.0	235000.0	235000.0	235000.0	234900.0	230000.0	230112.0	229945.0	230882.0	231995.0	233900.0	234900.0	239900.0	247200.0	249900.0	254900.0	260000.0	259900.0	259900.0	259900.0	264900.0	259900.0	259900.0	264900.0	269900.0	270904.5	269900.0	274790.0	270000.0	270514.5	274900.0	275490.0	276000.0	275000.0	272038.0	272990.0	275000.0	279990.0	290000.0	300000.0	301579.5	299997.0	304990.0	299990.0	304900.0	307700.0	301990.0	309900.0	309900.0	311995.0	315000.0	318900.0	315000.0	316900.0	319900.0	321354.0	324800.0	325000.0	325000.0	325000.0	334900.0	339000.0	348995.0	349900.0	344400.0	342945.0	344900.0	345000.0	349900.0	349957.5	350000.0	357990.0	358900.0	360000.0	363000.0	365000.0	370000.0	369490.0	360000.0	365000.0	365000.0	360000.0	364900.0	359000.0	357900.0	359000.0	364900.0	359900.0	359900.0	358245.0	357127.0	358935.0	352900.0	350000.0	356423.0
Guilford County	NC	Greensboro-High Point	37	081	135	159900.0	159900.0	159900.0	159900.0	159900.0	159000.0	155000.0	154250.0	152000.0	153500.0	153700.0	149900.0	149500.0	145000.0	144900.0	145000.0	149900.0	150000.0	149900.0	149900.0	149900.0	149900.0	147900.0	144900.0	139900.0	140000.0	146700.0	149900.0	150000.0	149900.0	145000.0	142719.0	139000.0	140000.0	139900.0	139000.0	139900.0	144200.0	145000.0	149900.0	149900.0	153690.0	152000.0	149900.0	149900.0	149900.0	149000.0	145000.0	149900.0	149900.0	155000.0	159900.0	165000.0	162900.0	165000.0	164900.0	159900.0	157500.0	159900.0	157900.0	162890.0	163900.0	162385.0	169500.0	179900.0	179900.0	178000.0	174500.0	173500.0	169900.0	169990.0	169900.0	169900.0	164000.0	170000.0	179900.0	180000.0	182500.0	179900.0	179900.0	177945.0	180000.0	179900.0	179900.0	179191.5	175000.0	179900.0	189900.0	189900.0	190505.0	189900.0	185865.0	184900.0	182500.0	179900.0	179900.0	178990.0	179900.0	185900.0	190400.0	192500.0	193900.0	189900.0	189900.0	190000.0	189900.0	189900.0	191900.0	194900.0	196700.0	208000.0	212900.0	214250.0	214189.5	214900.0	207900.0	209900.0	214900.0	209990.0	209900.0
Forsyth County	NC	Winston-Salem	37	067	184	154900.0	156800.0	159900.0	159900.0	158354.0	155700.0	154900.0	151200.0	149900.0	149900.0	149490.0	145000.0	144900.0	145000.0	145000.0	145900.0	147900.0	146990.0	147900.0	145990.0	144900.0	141450.0	140000.0	139900.0	138900.0	139900.0	144900.0	149900.0	149900.0	144900.0	146950.0	144900.0	144900.0	144900.0	146900.0	144900.0	143900.0	144900.0	145000.0	149000.0	149900.0	149900.0	149250.0	149900.0	150000.0	149900.0	149900.0	147500.0	149900.0	155000.0	157900.0	159900.0	159900.0	159900.0	157900.0	154700.0	150000.0	149994.5	150000.0	149945.0	154900.0	155000.0	154900.0	155000.0	161900.0	160000.0	159900.0	159900.0	158000.0	155600.0	159900.0	159900.0	159990.0	157900.0	162900.0	168000.0	169900.0	169900.0	169850.0	169900.0	169500.0	169000.0	169900.0	171700.0	169900.0	175000.0	179900.0	182900.0	186500.0	188450.0	185000.0	185000.0	186990.0	184900.0	184900.0	188850.0	185200.0	189000.0	189994.5	195000.0	190400.0	190200.0	195900.0	195721.0	198567.5	195000.0	195900.0	197550.0	198500.0	200000.0	215000.0	224900.0	219900.0	225000.0	227400.0	220000.0	217200.0	220000.0	225000.0	225000.0
Cumberland County	NC	Fayetteville	37	051	199																																																		149500.0	148925.0	149900.0	149000.0	149900.0	147000.0	144900.0	139991.0	139900.0	142000.0	139900.0	145000.0	149950.0	144900.0	148900.0	150000.0	149900.0	144700.0	142945.0	145000.0	139900.0	139300.0	139900.0	139900.0	139900.0	144900.0	146900.0	144500.0	149000.0	145900.0	144000.0	139900.0	135000.0	134000.0	135000.0	139000.0	139900.0	144900.0	146500.0	143999.5	149900.0	149000.0	149000.0	146000.0	146700.0	147000.0	146900.0	147000.0	148000.0	149500.0	155000.0	155000.0	154900.0	150000.0	149900.0	149999.0	150000.0	150000.0	150000.0	155000.0	163000.0	165000.0	172000.0	169500.0	169000.0	168000.0	169000.0	163000.0	161430.0	162950.0	162700.0
Durham County	NC	Durham-Chapel Hill	37	063	244	178440.0	179900.0	185000.0	184900.0	182000.0	179900.0	179400.0	178900.0	175000.0	174900.0	175450.0	174900.0	174900.0	174900.0	174900.0	174970.0	174900.0	175935.0	174900.0	175000.0	170990.0	174900.0	174990.0	169900.0	169500.0	175000.0	179000.0	178500.0	175874.5	174500.0	169990.0	173700.0	171900.0	174000.0	173900.0	175000.0	175000.0	179900.0	180994.5	183250.0	184900.0	185000.0	185000.0	182500.0	184900.0	186990.0	185000.0	184900.0	181007.0	187670.0	189945.0	187950.0	189900.0	189900.0	193900.0	190000.0	199000.0	199900.0	199900.0	199522.5	200000.0	200000.0	199900.0	206999.0	212000.0	215000.0	219900.0	222000.0	225000.0	227590.0	226940.0	229440.0	229900.0	224900.0	230000.0	235850.0	236000.0	240000.0	240990.0	244500.0	240000.0	239900.0	244900.0	249950.0	250000.0	250000.0	260000.0	259900.0	263481.0	263000.0	265945.0	264900.0	268990.0	274900.0	279900.0	287990.0	290000.0	294585.0	292000.0	286000.0	289865.0	286000.0	285000.0	287892.5	288995.0	295000.0	298990.0	299950.0	298750.0	300000.0	295000.0	295000.0	295000.0	298250.0	292450.0	289900.0	290000.0	285000.0	285320.0	285000.0
Buncombe County	NC	Asheville	37	021	269	262450.0	250000.0	249500.0	248750.0	249900.0	249900.0	249900.0	249000.0	247000.0	246000.0	246900.0	244900.0	239000.0	239000.0	239500.0	239700.0	250000.0	250000.0	249900.0	249900.0	249900.0	249900.0	244900.0	240000.0	257000.0	259900.0	259000.0	250000.0	254900.0	257900.0	249900.0	245000.0	239000.0	239900.0	239000.0	239000.0	239900.0	239000.0	239900.0	247000.0	249900.0	249900.0	249900.0	245000.0	249900.0	249900.0	249900.0	250000.0	249000.0	250000.0	259000.0	265000.0	265000.0	272000.0	265000.0	265000.0	269900.0	273566.0	275000.0	275000.0	275000.0	277346.0	275000.0	284250.0	284950.0	289000.0	289900.0	289900.0	293500.0	299000.0	299900.0	299500.0	300000.0	300000.0	319000.0	319900.0	335000.0	335000.0	339055.5	339000.0	334000.0	339000.0	339000.0	337750.0	334900.0	339900.0	349947.5	355000.0	350000.0	359900.0	369000.0	369000.0	374900.0	369000.0	369000.0	375000.0	374950.0	369900.0	375000.0	379000.0	375000.0	375000.0	374900.0	370000.0	369900.0	365825.0	367500.0	364386.5	359000.0	360000.0	369000.0	374000.0	379000.0	375000.0	379450.0	375000.0	378000.0	375000.0	378250.0	380000.0
Gaston County	NC	Charlotte-Concord-Gastonia	37	071	299	139900.0	139500.0	139000.0	139500.0	139000.0	135900.0	135000.0	134999.5	135000.0	134900.0	134900.0	132700.0	130000.0	129900.0	126900.0	125000.0	125000.0	127000.0	128500.0	129000.0	126900.0	125000.0	129900.0	128900.0	125000.0	124900.0	125000.0	120000.0	124900.0	122000.0	120000.0	121500.0	119000.0	114900.0	115000.0	114900.0	115000.0	124600.0	129000.0	134900.0	135000.0	137900.0	134900.0	134950.0	135000.0	139900.0	135900.0	134900.0	133000.0	135000.0	139000.0	139900.0	142992.5	145000.0	145000.0	148402.0	148945.0	146900.0	150000.0	148990.0	149120.0	149500.0	149120.0	149000.0	149000.0	150000.0	150000.0	154900.0	149900.0	148370.0	154990.0	149900.0	159490.0	150000.0	149900.0	154695.0	160990.0	164990.0	169900.0	163900.0	159990.0	169900.0	164900.0	170593.0	165000.0	170000.0	174950.0	189000.0	195000.0	200000.0	199900.0	194999.0	192450.0	195900.0	198900.0	198650.0	205650.0	203400.0	214990.0	210000.0	204900.0	210000.0	205000.0	204900.0	204900.0	210000.0	209000.0	207500.0	207500.0	214250.0	215000.0	224900.0	225000.0	231900.0	224700.0	230000.0	231900.0	227000.0	232900.0	229900.0
New Hanover County	NC	Wilmington	37	129	304	260000.0	250000.0	253450.0	250000.0	250000.0	249900.0	249000.0	244999.5	239000.0	234900.0	229900.0	228900.0	225450.0	224000.0	224900.0	225000.0	224900.0	225000.0	224900.0	224900.0	224500.0	225000.0	224900.0	221000.0	224000.0	224900.0	225000.0	225000.0	229000.0	229900.0	228000.0	229500.0	225000.0	224900.0	224100.0	221200.0	220000.0	229000.0	235000.0	244450.0	241950.0	249000.0	250000.0	249900.0	250000.0	244900.0	245900.0	247995.0	244450.0	245000.0	249900.0	253800.0	250000.0	239000.0	235000.0	233750.0	230000.0	230000.0	230000.0	230000.0	229900.0	234900.0	234900.0	239900.0	244655.0	249000.0	249900.0	248195.0	251900.0	250000.0	250000.0	271950.0	268900.0	267900.0	269000.0	274950.0	278700.0	277900.0	279900.0	279950.0	280330.0	286234.0	285500.0	287990.0	289700.0	287000.0	289900.0	296950.0	299000.0	299000.0	299000.0	299900.0	299973.5	299340.0	298174.0	299900.0	299900.0	299900.0	299000.0	300000.0	302179.0	304660.0	300000.0	299000.0	300532.5	299900.0	308363.5	314900.0	317999.0	316400.0	310915.0	315000.0	310000.0	309900.0	309900.0	315000.0	317900.0	315000.0	314900.0	315000.0
Union County	NC	Charlotte-Concord-Gastonia	37	179	305	239900.0	238384.0	229900.0	229500.0	229900.0	228000.0	223312.5	219900.0	219990.0	214900.0	209990.0	204945.0	201695.0	199900.0	199900.0	203000.0	205900.0	201450.0	199900.0	199900.0	199000.0	195000.0	199000.0	198900.0	197718.0	199000.0	199990.0	200000.0	204949.5	209000.0	204900.0	199900.0	199900.0	199900.0	199900.0	200000.0	202700.0	216488.0	219900.0	229000.0	234172.5	234292.0	234900.0	239490.0	239869.0	242500.0	237070.0	245000.0	249792.5	264900.0	298990.0	305495.0	305000.0	298900.0	299500.0	289900.0	275000.0	259942.5	289993.5	289998.0	299000.0	290900.0	289000.0	295700.0	299900.0	305000.0	309900.0	300000.0	299900.0	325000.0	334990.0	306990.0	321425.0	341450.0	349000.0	339900.0	339900.0	351650.0	359900.0	359700.0	368000.0	364525.0	354715.0	364900.0	355990.0	362500.0	369900.0	384945.0	383230.0	378195.0	375000.0	366845.0	369000.0	362000.0	359900.0	364945.0	365000.0	371829.0	374900.0	363055.0	364900.0	357767.0	354990.0	349900.0	349900.0	345000.0	344945.0	338788.0	339900.0	339000.0	336990.0	340000.0	343628.0	343900.0	339900.0	334999.0	338900.0	335000.0	335000.0	340999.0
