RegionName	RegionID	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	2008-01	2008-02	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11
Mecklenburg County	3102	NC	Charlotte-Concord-Gastonia	37	119	49	207622.0	207241.0	206746.333333333	205631.0	204565.666666667	203616.666666667	202842.666666667	202363.0	202063.333333333	201692.0	200264.333333333	197675.333333333	194344.333333333	192659.0	192010.0	191594.333333333	190302.0	189151.666666667	188400.0	187273.333333333	186358.0	185856.0	186389.666666667	186366.333333333	186470.333333333	185218.666666667	183825.333333333	182856.666666667	182471.0	181772.0	180219.333333333	178817.666666667	177557.666666667	176325.0	174783.666666667	173577.666666667	172434.666666667	171306.0	169892.666666667	168442.333333333	166937.0	166062.0	165230.666666667	164590.666666667	163676.0	162581.333333333	161428.333333333	161446.333333333	161392.0	161962.666666667	161781.0	162168.666666667	162210.666666667	161989.333333333	161904.0	162138.0	162719.0	163471.0	164069.666666667	163966.666666667	164182.0	164127.333333333	164618.333333333	164941.333333333	166273.666666667	168134.666666667	170343.0	171765.333333333	172744.0	173484.333333333	174145.666666667	175498.333333333	176610.0	178397.333333333	179714.333333333	180425.666666667	180804.666666667	180653.666666667	180501.333333333	180217.666666667	180341.333333333	180699.0	181246.666666667	181861.333333333	182560.666666667	183514.333333333	184886.333333333	186315.333333333	187056.666666667	187691.333333333	188856.666666667	190734.666666667	192116.0	192965.0	193555.0	193851.0	194673.666666667	195706.333333333	196960.666666667	198356.666666667	200212.0	202441.666666667	204390.333333333	205649.666666667	207054.333333333	208355.333333333	210119.0	211994.0	214006.0	214985.333333333	216313.0	217352.333333333	218798.666666667	220095.333333333	221213.666666667	223095.333333333	224779.666666667	227099.0	228998.333333333	231143.333333333	233338.666666667	235518.0	236979.666666667	237919.0	238889.0	240045.333333333	241764.0	243214.333333333	244905.333333333	245867.666666667	247614.0	249360.0	251568.0	252047.0	252175.333333333	252391.0	252808.666666667	253105.333333333	253170.0	253822.666666667	254721.666666667	256405.333333333	258405.666666667
Wake County	324	NC	Raleigh	37	183	56	245542.0	245491.5	244105.333333333	242635.666666667	241147.666666667	240954.666666667	240975.0	241005.333333333	240580.333333333	239836.333333333	238788.333333333	237962.333333333	236787.666666667	236170.333333333	235340.0	234413.666666667	233225.0	232384.666666667	231899.0	231317.0	231176.666666667	231382.666666667	231506.666666667	231268.666666667	231070.333333333	230495.333333333	230306.666666667	230742.0	231430.666666667	231272.0	229791.666666667	228507.666666667	227138.333333333	226407.666666667	225663.666666667	225178.666666667	224408.0	223217.0	221762.333333333	219953.0	218422.666666667	217647.0	217324.333333333	216795.333333333	216417.333333333	215598.0	215068.0	214473.0	213743.333333333	213229.666666667	213223.666666667	214452.333333333	215221.333333333	215304.666666667	215038.0	215529.666666667	215790.333333333	216069.0	215993.333333333	216536.0	217300.0	218318.0	219480.0	220594.333333333	222096.0	223323.666666667	224689.0	226080.333333333	227741.333333333	229176.333333333	230309.666666667	230414.0	230883.666666667	231321.0	232544.666666667	232888.666666667	233274.666666667	233643.333333333	234590.0	234977.666666667	235098.333333333	235348.666666667	236728.666666667	238181.0	239335.666666667	239796.0	240689.666666667	241746.0	242723.666666667	243708.333333333	244584.0	246169.0	247850.0	249639.666666667	250393.0	251209.0	251986.666666667	253408.333333333	253426.333333333	253801.333333333	254337.666666667	256275.333333333	258381.0	260145.666666667	261543.666666667	262240.333333333	263425.0	265000.666666667	267046.333333333	268724.666666667	270948.333333333	272530.666666667	273859.0	274274.0	274626.666666667	275044.333333333	275912.666666667	277645.333333333	279538.0	281039.666666667	282137.0	282833.333333333	284032.0	285110.333333333	287176.0	288135.333333333	289246.666666667	290508.666666667	292049.666666667	293117.666666667	294096.0	295452.0	297412.666666667	299272.333333333	300472.333333333	300859.333333333	300517.333333333	300669.0	301228.666666667	301531.666666667	302143.0	303298.0	304989.666666667
Guilford County	2312	NC	Greensboro-High Point	37	081	135	152762.0	152625.5	152454.333333333	152321.333333333	152020.333333333	151660.333333333	150891.333333333	150508.0	149964.0	149206.333333333	148493.333333333	147909.666666667	148072.666666667	147919.333333333	147663.0	146950.0	146438.333333333	145530.0	144797.333333333	143883.0	143648.666666667	143610.666666667	143181.0	142809.666666667	142242.0	141833.666666667	141343.333333333	141088.0	140888.666666667	140782.0	140383.0	140077.0	139490.666666667	139122.333333333	138882.0	138575.666666667	137782.0	136883.0	136060.333333333	135331.0	134644.0	133871.0	132960.666666667	132452.333333333	132118.666666667	131854.666666667	130890.33333333301	130021.66666666699	129201.33333333301	128944.33333333301	128682.33333333301	128644.33333333301	128382.0	127969.66666666699	127736.33333333301	127537.33333333301	127428.33333333301	127364.33333333301	127314.0	127410.0	127491.66666666699	127894.66666666699	128654.0	129528.33333333301	129978.66666666699	130385.33333333301	130595.33333333301	131167.333333333	131632.0	132117.333333333	132661.0	133064.666666667	133438.666666667	133168.333333333	132864.666666667	132606.333333333	132925.666666667	133128.666666667	133208.666666667	133187.0	133057.333333333	133009.0	132725.333333333	132631.0	133395.0	134364.333333333	135357.0	135064.0	134858.666666667	134723.0	134998.0	135329.666666667	135597.666666667	135942.333333333	135974.666666667	135883.333333333	135520.333333333	135362.0	135303.333333333	135645.333333333	135932.333333333	136580.666666667	137306.0	138321.0	139041.333333333	139703.333333333	140419.666666667	141263.0	141705.666666667	142035.666666667	142204.333333333	142939.333333333	143839.666666667	144884.333333333	145887.666666667	146274.333333333	146955.333333333	147592.333333333	148686.333333333	149509.0	150068.333333333	150748.333333333	151270.666666667	151663.333333333	151899.333333333	152577.0	153764.333333333	154238.333333333	154464.0	154526.333333333	155608.666666667	156737.0	157815.0	158536.666666667	159352.666666667	160334.666666667	161320.0	162178.0	162977.0	163692.333333333	164518.666666667	165115.0	165868.0
Forsyth County	1712	NC	Winston-Salem	37	067	183	145697.0	146335.5	146801.333333333	146816.666666667	146115.333333333	144853.0	144048.666666667	143741.333333333	143667.333333333	143732.666666667	143466.333333333	143124.0	143141.0	143277.333333333	143397.333333333	143090.333333333	142762.666666667	142624.0	142474.666666667	142165.0	141699.0	141188.0	140673.333333333	140063.333333333	139744.0	139483.333333333	139202.333333333	138992.0	139116.333333333	139334.666666667	139213.333333333	138822.333333333	138537.333333333	138068.0	137631.0	137184.666666667	136785.0	136183.0	135541.333333333	135075.333333333	134503.0	133659.0	132868.333333333	131988.0	131532.333333333	130904.0	130545.66666666699	129859.66666666699	129302.0	128810.0	128840.66666666699	128905.66666666699	129028.0	128916.33333333301	128723.33333333301	128639.66666666699	128379.33333333301	128190.0	127954.0	127829.0	127288.66666666699	126669.0	126122.0	126175.66666666699	126507.33333333301	127239.33333333301	128103.33333333301	128782.66666666699	128921.33333333301	129107.0	129341.33333333301	130094.66666666699	130948.66666666699	131581.666666667	131547.333333333	131093.333333333	130884.33333333301	130746.66666666699	130623.0	130343.33333333301	130189.33333333301	130080.33333333301	129878.66666666699	129714.33333333301	129640.66666666699	129549.33333333301	129661.66666666699	129810.66666666699	130017.0	130290.33333333301	130588.33333333301	130956.66666666699	131279.666666667	131358.0	131540.0	131525.333333333	131959.333333333	132059.333333333	132015.0	131823.666666667	132135.333333333	132693.333333333	133276.333333333	133885.0	134550.0	135150.666666667	135624.0	136182.666666667	136676.0	137180.333333333	137753.0	138485.333333333	139192.0	139853.666666667	140281.0	140836.0	141348.0	142262.666666667	143351.333333333	144406.0	145065.333333333	145856.333333333	146565.333333333	147369.666666667	147894.0	148425.0	149046.333333333	149679.333333333	150452.333333333	151287.333333333	151743.666666667	152269.333333333	152439.666666667	153300.333333333	154179.333333333	155636.333333333	156583.0	157483.666666667	158212.333333333	158909.0	159483.0	160080.666666667	161182.0
Cumberland County	2912	NC	Fayetteville	37	051	198	129325.0	129984.5	129986.0	130143.33333333301	130089.0	130361.0	130823.66666666699	131063.33333333301	131023.33333333301	131116.0	130933.66666666699	130857.0	130521.33333333301	130117.0	129724.33333333301	129566.66666666699	129479.0	129488.0	129512.66666666699	130115.33333333301	130569.66666666699	130945.33333333301	131309.0	131782.0	132111.333333333	131973.333333333	131867.333333333	131709.666666667	131638.0	131792.666666667	132130.666666667	132624.666666667	132818.666666667	132972.666666667	132822.666666667	132952.0	132969.333333333	132986.666666667	132887.666666667	132529.666666667	132263.333333333	131815.0	131643.0	131477.0	131191.333333333	130472.33333333301	129635.0	128608.66666666699	127705.33333333301	127174.0	126874.0	126677.66666666699	126164.0	126000.33333333301	125826.33333333301	125655.33333333301	125279.0	124873.66666666699	124474.33333333301	123948.33333333301	123670.0	123294.33333333301	122890.66666666699	122282.0	121877.33333333301	121355.0	120755.0	120483.0	120627.66666666699	121085.33333333301	121368.33333333301	121909.66666666699	122278.0	122695.0	122690.0	122917.66666666699	122834.33333333301	122473.0	121989.0	121494.33333333301	121226.0	120692.66666666699	120210.66666666699	119725.33333333301	119365.33333333301	118695.0	118325.66666666699	118128.33333333301	118515.66666666699	118697.0	118782.0	118159.33333333301	117545.66666666699	117113.33333333301	117364.66666666699	117423.66666666699	117492.33333333301	117368.33333333301	117248.0	116617.33333333301	116057.66666666699	115555.0	115094.66666666699	114513.66666666699	113891.66666666699	113656.66666666699	113764.0	114062.33333333301	114232.33333333301	114339.33333333301	114520.33333333301	115130.66666666699	115902.33333333301	116410.33333333301	116283.0	115946.66666666699	115668.0	115507.0	114910.0	114274.33333333301	113993.66666666699	114392.0	115040.0	115455.33333333301	115987.0	116625.66666666699	117613.66666666699	118363.66666666699	119361.33333333301	120040.33333333301	120512.66666666699	120507.33333333301	120612.66666666699	121102.66666666699	121582.0	122334.66666666699	122487.66666666699	122491.0	122354.66666666699	122632.0	122928.0	123203.66666666699	123858.0
Durham County	999	NC	Durham-Chapel Hill	37	063	243	187224.0	187139.0	187246.0	187036.333333333	186856.333333333	186627.333333333	186591.333333333	186130.666666667	185255.333333333	184284.0	183308.0	182391.0	181586.333333333	180844.333333333	180009.666666667	178608.333333333	177840.333333333	177172.0	177152.666666667	176621.0	176696.333333333	176823.333333333	177160.333333333	176980.666666667	177101.333333333	177176.666666667	177650.0	177927.333333333	178221.333333333	178081.666666667	177498.333333333	176875.333333333	176426.0	175775.666666667	175310.333333333	174641.0	174331.666666667	173720.666666667	172898.0	171672.0	170343.0	169121.333333333	168115.333333333	166872.666666667	165615.666666667	164172.666666667	163021.0	162037.333333333	161376.0	160527.333333333	159778.666666667	159871.666666667	160203.333333333	160706.0	160897.333333333	160964.0	160759.666666667	160374.333333333	160629.0	161455.333333333	162229.0	163772.666666667	165401.0	167102.666666667	167770.333333333	168276.333333333	168969.0	170387.666666667	172195.0	173894.333333333	174615.333333333	174601.666666667	174677.333333333	174439.0	174701.333333333	174904.0	175893.666666667	176480.666666667	176827.666666667	177069.0	177102.666666667	177319.666666667	177887.333333333	178837.666666667	179525.666666667	180045.0	180296.333333333	180538.666666667	180737.333333333	181382.0	182437.333333333	183770.333333333	184758.666666667	185594.666666667	186170.333333333	187146.0	187807.666666667	188525.666666667	189007.0	190163.666666667	191564.0	193105.0	193984.333333333	195039.666666667	196292.333333333	197880.333333333	199449.0	200739.666666667	201970.0	203121.333333333	204263.666666667	205682.666666667	206910.333333333	208129.333333333	209169.0	210388.0	211514.0	213036.0	214456.0	216231.333333333	217971.0	220095.0	222254.666666667	223870.333333333	225233.666666667	226821.0	229087.666666667	230804.333333333	232536.333333333	234242.0	236101.666666667	237838.0	239208.333333333	240702.666666667	241779.666666667	243118.333333333	244107.666666667	245005.333333333	245352.0	246372.333333333	247287.0	248327.666666667	248688.0
Buncombe County	2156	NC	Asheville	37	021	265	229276.0	228608.0	229060.0	229336.333333333	229925.333333333	229574.333333333	228916.666666667	229235.666666667	229196.0	228769.666666667	226644.333333333	224669.0	223348.0	222499.666666667	221561.666666667	220263.0	218809.666666667	218365.0	217850.666666667	217578.333333333	217033.666666667	216747.0	216651.666666667	216496.0	215653.333333333	213909.666666667	212229.666666667	210973.333333333	210767.0	209722.333333333	209486.0	207756.333333333	206489.666666667	205081.666666667	205297.0	205492.666666667	205230.666666667	204946.666666667	204760.333333333	204607.333333333	204127.0	203668.666666667	202584.0	201117.333333333	199528.333333333	198349.0	197236.0	195958.333333333	194952.0	194227.666666667	194078.333333333	193902.0	193874.666666667	193636.0	193784.0	194278.333333333	195212.0	195858.0	196479.666666667	196496.333333333	196676.666666667	197126.0	197053.666666667	197333.333333333	197801.666666667	199319.0	200439.333333333	201420.666666667	202263.0	203202.333333333	203616.333333333	204727.333333333	206040.0	207579.666666667	209006.666666667	210951.666666667	212793.333333333	213909.0	214039.0	214383.0	215051.0	216200.666666667	217156.666666667	217714.333333333	219291.0	220925.0	222222.666666667	222151.0	222508.666666667	223572.666666667	224889.666666667	225807.666666667	225749.0	225933.333333333	226519.333333333	228387.666666667	230984.0	233834.0	236978.0	239293.333333333	241340.0	243262.666666667	245334.0	247548.0	250263.0	253349.666666667	256964.666666667	260084.666666667	261912.333333333	262814.333333333	263421.0	264826.333333333	266033.333333333	267098.666666667	269008.0	271648.666666667	274020.666666667	276035.0	277392.0	279470.0	280192.666666667	281764.666666667	282757.333333333	284899.333333333	286336.0	287836.0	289068.666666667	290107.0	290880.333333333	291511.0	292252.0	292580.666666667	292992.666666667	293397.333333333	294174.333333333	294583.666666667	294296.0	294312.666666667	294946.0	295955.333333333	297765.0	298855.333333333	300162.0
Gaston County	1032	NC	Charlotte-Concord-Gastonia	37	071	295	124758.0	124441.5	124523.33333333301	124214.33333333301	124242.33333333301	123783.0	123321.66666666699	122473.66666666699	121657.33333333301	121151.0	120718.33333333301	119926.66666666699	118506.66666666699	116510.0	115430.0	114740.66666666699	114517.33333333301	113944.66666666699	113809.66666666699	113905.0	114414.33333333301	114078.66666666699	113960.66666666699	113821.33333333301	114300.66666666699	115443.66666666699	115136.33333333301	114361.66666666699	112936.33333333301	112440.0	112387.66666666699	111985.33333333301	111379.33333333301	110534.66666666699	109646.0	108910.33333333301	108224.66666666699	107485.33333333301	107080.66666666699	106861.0	106703.66666666699	106346.0	105754.66666666699	104780.66666666699	103810.33333333301	103399.33333333301	103469.33333333301	103911.33333333301	104371.33333333301	105221.0	106070.33333333301	106990.66666666699	107783.0	108394.66666666699	108923.33333333301	109304.33333333301	109494.33333333301	109570.33333333301	109571.33333333301	109233.33333333301	108731.33333333301	108550.0	108883.0	108814.0	108973.0	109228.0	109986.33333333301	110264.33333333301	109948.33333333301	110031.33333333301	110337.33333333301	111485.0	112187.0	112788.33333333301	113072.66666666699	113691.66666666699	114245.33333333301	114462.0	114148.0	113908.33333333301	114222.33333333301	114482.33333333301	114297.0	114074.0	114032.33333333301	114397.33333333301	115186.0	116038.33333333301	116644.66666666699	117140.0	117946.66666666699	119388.33333333301	120283.0	120948.66666666699	121122.33333333301	121322.66666666699	121403.33333333301	121344.0	121395.66666666699	122231.0	123099.66666666699	123919.0	124195.66666666699	125111.33333333301	126778.66666666699	128665.33333333301	130833.0	132595.0	134612.0	135772.333333333	136352.0	136420.333333333	136564.666666667	137360.333333333	137841.666666667	139058.666666667	140086.666666667	141585.333333333	142579.666666667	143605.666666667	144776.0	146339.0	148135.0	150079.666666667	151974.333333333	153768.333333333	155316.0	156627.333333333	158217.0	159532.333333333	161418.333333333	162813.0	164537.666666667	165987.666666667	166846.333333333	167206.666666667	167558.333333333	168297.666666667	169315.333333333	170276.333333333	171110.666666667	171640.333333333	171791.333333333
New Hanover County	3109	NC	Wilmington	37	129	300	254259.0	252122.0	252109.666666667	251506.0	251405.333333333	250444.333333333	249194.0	249026.666666667	248202.0	246140.333333333	243294.666666667	240397.0	238672.666666667	238315.333333333	237153.0	234738.0	231145.0	228635.0	227229.333333333	225350.333333333	223695.333333333	222938.0	222617.666666667	221244.0	218604.333333333	216623.333333333	216445.333333333	216485.666666667	215865.333333333	214562.666666667	213074.333333333	211713.333333333	209848.0	207729.0	204716.0	203113.666666667	202329.666666667	201284.333333333	198615.333333333	195894.333333333	194530.333333333	193625.333333333	192781.0	191263.333333333	190026.666666667	188442.0	188484.333333333	188017.0	187805.333333333	185654.333333333	184601.0	184059.0	184066.333333333	183836.333333333	183311.333333333	183338.333333333	183292.666666667	183714.333333333	183978.333333333	184233.666666667	184237.333333333	185603.666666667	187381.333333333	188650.666666667	189773.666666667	191459.333333333	194605.0	197214.0	199033.666666667	200270.333333333	200623.0	202262.333333333	202548.333333333	202745.333333333	202692.666666667	202500.333333333	202209.666666667	200461.666666667	199009.333333333	198097.666666667	197964.666666667	198291.0	199275.333333333	199324.0	200088.333333333	201103.333333333	202427.666666667	203926.0	205421.666666667	207083.333333333	208499.0	208907.0	208832.0	209012.333333333	208994.333333333	209797.666666667	210174.333333333	211102.0	211561.666666667	213106.0	214766.0	215782.666666667	215258.333333333	215449.333333333	217118.0	219049.666666667	220493.333333333	221031.0	221219.333333333	221569.666666667	222518.333333333	224015.0	225077.0	226594.333333333	228526.333333333	230451.0	232180.666666667	233147.666666667	234373.666666667	235696.333333333	238961.666666667	241824.333333333	242870.333333333	242030.0	241385.666666667	241694.333333333	241947.0	242000.333333333	242282.333333333	243412.333333333	244825.0	246443.0	247005.333333333	247535.666666667	247733.666666667	248894.333333333	250006.333333333	251871.0	253137.333333333	254598.0	255780.0	256871.333333333	258071.666666667
Union County	770	NC	Charlotte-Concord-Gastonia	37	179	301	223822.0	223144.5	223019.0	222808.666666667	222751.0	221578.333333333	220007.333333333	218448.333333333	217248.0	216023.0	215329.0	214419.666666667	213613.333333333	211931.0	210191.0	208444.666666667	207067.0	206141.666666667	205452.333333333	204614.0	203929.0	203187.666666667	201983.333333333	201183.666666667	199930.666666667	199395.0	198439.333333333	197540.333333333	196921.0	197031.666666667	196584.333333333	196094.333333333	194540.666666667	193293.666666667	191522.666666667	190063.333333333	188829.0	187864.666666667	186380.666666667	184837.666666667	183564.333333333	182909.333333333	182588.666666667	181713.0	180655.0	179282.0	178462.333333333	177173.333333333	175737.0	174095.666666667	174469.0	176373.333333333	177872.666666667	178509.666666667	178381.333333333	179025.333333333	179714.333333333	180282.666666667	180270.333333333	180474.0	180911.666666667	182269.666666667	183032.333333333	183686.333333333	184478.0	185988.0	188412.0	190564.0	193151.333333333	195329.666666667	197364.666666667	199051.0	201029.666666667	202780.0	204288.666666667	204413.666666667	204440.333333333	204272.666666667	204479.0	204515.666666667	203297.333333333	202804.333333333	202715.666666667	203862.666666667	204831.666666667	205855.333333333	207047.666666667	207583.333333333	208210.666666667	208847.0	210396.666666667	212128.333333333	214128.666666667	215850.333333333	217125.0	218048.333333333	218747.666666667	219876.0	220617.333333333	222052.0	223307.333333333	224570.333333333	224919.666666667	225179.333333333	226517.666666667	227498.333333333	229078.0	229578.666666667	230613.666666667	231946.333333333	234498.666666667	237157.666666667	238562.666666667	238659.666666667	238326.666666667	238500.0	240055.0	242132.0	244148.666666667	245843.0	247860.666666667	249193.0	249901.666666667	250384.333333333	251751.666666667	253762.666666667	256042.666666667	258328.333333333	259659.0	260612.333333333	261132.333333333	262417.333333333	263557.333333333	265035.333333333	265667.333333333	266095.333333333	266370.0	267011.666666667	267763.0	268544.333333333	269520.666666667	271305.666666667	274109.666666667
